和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
シロタスキベラ,Hologymnosus doliatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域のガレ場,30cm,20m,白い体に黒い横帯が特徴のベラ。ガレ場を素早く泳ぎ、好奇心旺盛でダイバーに近寄ってくることも。,シロタスキベラは、白い体に5〜6本の黒い横帯が目立つベラの一種で、体長は最大30cmほどになります。尾ビレの付け根に目立つ黒斑があり、これが識別ポイントの一つです。岩礁やサンゴ礁のガレ場に生息し、小魚や甲殻類を捕食します。ダイビング中は、ガレ場の隙間を素早く行き来する姿が観察でき、好奇心が強く、ダイバーに近寄ってくることもあります。写真撮影では、白と黒のコントラストが水中で非常に映え、特に自然光が差し込む場所で撮ると魅力的なショットが撮れます。面白い生態として、幼魚の頃はメスで、成長するにつれてオスに性転換することが知られています。ダイバー目線では、ガレ場の探索時にぜひ注目したい魚の一つです。
クロヘリイトヒキベラ,Cirrhilabrus cyanopleura,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,9cm,23m,青紫の体に黒い縁取りが美しいベラ。岩陰を優雅に泳ぎ、群れで行動することが多い。,クロヘリイトヒキベラは、青紫色の体に黒い縁取りが特徴的な美しいベラの仲間です。体長は約9cmで、岩礁やサンゴ礁の周辺を群れで泳ぎ回ります。オスは繁殖期になるとさらに鮮やかな色彩に変化し、メスにアピールします。ダイビングでは、岩陰やサンゴの隙間を注意深く観察すると見つけることができます。撮影時は、群れの優雅な動きと青紫のコントラストが映えるので、背景に青い海を選ぶとより一層美しい写真が撮れます。面白いことに、この種は夜になると砂に潜って眠る習性があります。
ヤリイトヒキベラ,Cirrhilabrus lanceolatus,南日本の太平洋岸、琉球列島；パラオ、フィリピン,岩礁域やサンゴ礁域、砂地,10cm,43m,細長い体に鮮やかな赤と青のグラデーションが美しいベラ。砂地や岩場を素早く泳ぎ回ります。,ヤリイトヒキベラは、体長10cmほどの小型ベラで、細長い体形が特徴です。体色は頭部が赤く、尾部に向かって青にグラデーションし、特にオスは繁殖期に色彩がさらに鮮やかになります。岩礁域やサンゴ礁の砂地を好み、素早く泳ぎ回る姿が観察されます。ダイビングでは、岩陰やサンゴの隙間を探すと見つけやすく、警戒心が強いためゆっくりと近づくのがコツです。写真撮影では、青い海を背景にした赤と青のコントラストが非常に映え、被写体として人気があります。面白い生態として、オスはメスを引き寄せるために体をくねらせてダンスのような求愛行動を見せます。ダイバー目線では、その美しい色彩と機敏な動きが楽しめる、南日本の海の宝石とも呼べる存在です。
ベニヒレイトヒキベラ,Cirrhilabrus rubrimarginatus,南日本の太平洋岸、琉球列島；インド・西太平洋,岩礁域、サンゴ礁域,10cm,27m,背びれが赤く縁取られた美しいベラ。岩礁の周りを優雅に泳ぎます。,ベニヒレイトヒキベラは、背びれと尾びれの縁が鮮やかな赤色に染まる小型のベラです。体は全体的に銀色がかったピンクで、特にオスは繁殖期に色彩がより鮮やかになります。岩礁やサンゴ礁の周辺を単独または小群で泳ぎ、甲殻類やプランクトンを捕食します。ダイビングでは、浅いリーフの斜面や岩の陰を注意深く観察すると発見しやすいです。写真撮影の際は、赤い縁取りが光に反射して美しく映えるため、サイドライトを活用すると良いでしょう。ベラ科の中でも特に色彩が豊かで、ダイバーに人気の被写体です。
ツキノワイトヒキベラ,Cirrhilabrus lunatus,南日本の太平洋岸、琉球列島、小笠原諸島；台湾、フィリピン、インドネシア,岩礁域、サンゴ礁域,7cm,30m,背中に三日月形の黒斑がある鮮やかなピンク色のベラ。岩陰を素早く泳ぎ回ります。,ツキノワイトヒキベラは、鮮やかなピンク色の体と背中に三日月形（lunatus）の黒斑が特徴的な小型のベラです。オスは繁殖期になるとさらに色鮮やかになり、メスはやや地味な色合いです。岩礁やサンゴ礁の隙間を素早く泳ぎ回り、甲殻類やプランクトンを捕食します。ダイビングでは、水深30m以浅の岩陰やサンゴの周辺で群れをなしていることが多く、ゆっくり近づくと美しい色彩を観察できます。写真撮影では、青い海を背景にしたピンク色のコントラストが特に映え、マクロレンズで細部まで捉えるとその魅力が引き立ちます。学名の「lunatus」はラテン語で「三日月形」を意味し、背中の黒斑に由来しています。南日本の太平洋岸や琉球列島でよく見られ、ダイバーにとっては馴染み深い魚の一つです。
ニシキイトヒキベラ,Cirrhilabrus exquisitus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,7cm,12m,鮮やかなピンクと青のグラデーションが美しい小さなベラ。岩陰を素早く泳ぎ回ります。,ニシキイトヒキベラは、ピンクから青へと変化するグラデーションの体色が特徴的な小型のベラです。特にオスは繁殖期に色彩がより鮮やかになります。体長は約7cmで、岩礁やサンゴ礁の周辺を活発に泳ぎ回ります。ダイビング中は岩陰やサンゴの隙間を探すと見つけやすく、群れで行動することが多いです。写真撮影ではその華やかな色合いが水中で一層映え、被写体として人気があります。面白い生態として、オスはメスを惹きつけるために体をくねらせながらダンスのような求愛行動を見せます。初心者ダイバーにも見つけやすく、南日本の海で楽しめる宝石のような魚です。
ハリオイトヒキベラ,Cirrhilabrus isosceles,南日本の太平洋岸、琉球列島,サンゴ礁域や岩礁域、潮通しのよい斜面の25m以深,7cm,28m,体が赤く、尾びれが長く伸びた小さなベラ。深場の岩陰で群れていることが多い。,ハリオイトヒキベラは、深紅の体色と細長く伸びた尾びれが特徴的な小型のベラです。オスは特に鮮やかな赤色で、メスはやや淡いオレンジ色をしています。水深28m以深の潮通しの良い岩礁やサンゴ礁の斜面に生息し、群れで泳ぐ姿が観察されます。ダイビングでは、岩陰やサンゴの隙間を注意深く探すと見つかります。写真撮影では、その鮮やかな赤色が水中で非常に映え、バックの青とのコントラストが美しい被写体です。学名の「isosceles」は、尾びれの形状が二等辺三角形に似ていることに由来します。
イトヒキベラ,Cirrhilabrus temminckii,南日本；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,6cm,10m,鮮やかな赤色と長い尾びれが特徴の小型ベラ。岩陰を素早く泳ぎ回ります。,イトヒキベラは体長約6cmの小型ベラで、雄は鮮やかな赤色の体色と糸のように長く伸びた背びれ・尾びれが特徴です。雌や幼魚はオレンジがかった色で、雄に比べて地味な配色です。サンゴ礁や岩礁の周辺を活発に泳ぎ回り、プランクトンや小さな甲殻類を捕食します。ダイビングでは浅い水深（10m前後）でよく観察でき、岩陰やサンゴの隙間からひょっこり現れる姿が可愛らしいです。写真撮影では雄の赤い体色が青い海に映え、特に自然光で撮ると美しいコントラストが楽しめます。イトヒキベラは縄張り意識が強く、他の小型魚とちょっかいを出す様子も観察できます。ダイバーが近づくと素早く逃げるため、ゆっくりとアプローチするのが観察のコツです。
クレナイイトヒキベラ,Cirrhilabrus katoi,南日本の太平洋岸,岩礁域,8cm,25m,鮮やかな赤色が目立つ小さなベラ。オスは背びれが長く、群れで泳ぐ姿が可愛らしい。,クレナイイトヒキベラは、南日本の太平洋岸に生息する体長約8cmの小型ベラです。オスは全身が鮮やかな赤色で、特に背びれが長く伸び、泳ぐ際に優雅に揺れる姿が特徴的です。メスはやや地味なオレンジ色をしています。岩礁域の25m以浅に群れで生息し、日中は活発に泳ぎ回ります。ダイバーは岩陰やサンゴの周りを注意深く観察すると、群れで移動する姿を見つけることができます。写真撮影では、赤い体色が青い海に映え、特にオスの背びれの動きを捉えるとダイナミックなショットが撮れます。豆知識として、学名の「katoi」は日本の魚類学者に由来しており、日本固有種としても貴重な存在です。
トモシビイトヒキベラ,Cirrhilabrus melanomarginatus,南日本の太平洋岸、琉球列島、台湾、中沙諸島、フィリピン,岩礁域、サンゴ礁域、潮通しのよい所,12cm,20m,青紫色の体に黒い縁取りが特徴のベラ。岩礁の周りをヒラヒラと泳ぎます。,トモシビイトヒキベラは、青紫色の体色と各ヒレの黒い縁取りが美しいベラの仲間です。体長は約12cmで、岩礁域や潮通しのよいサンゴ礁に生息しています。オスは繁殖期になるとより鮮やかな色合いになり、メスを引き寄せるためにヒレを広げて優雅に泳ぎます。ダイビングでは、岩陰やサンゴの隙間を注意深く観察すると見つけることができます。写真撮影の際は、青紫の体色が水中で光に反射して輝く様子を捉えると、より魅力的なショットが撮れるでしょう。この魚は、地域によっては『トモシビ』と呼ばれることもあり、その名の通り暗がりでも光るような美しさが特徴です。
ゴシキイトヒキベラ,Cirrhilabrus katherinae,伊豆・小笠原諸島、琉球列島；ミクロネシア,岩礁域、サンゴ礁域,10cm,8m,鮮やかな虹色の体色が特徴の小さなベラ。群れで泳ぎ、岩陰を素早く動き回ります。,ゴシキイトヒキベラは、体長10cmほどの小さなベラの一種で、名前の通り虹色に輝く体色が最大の特徴です。オスは特に鮮やかで、青、緑、赤、紫などが混ざり合い、光の角度によって色合いが変化します。メスはやや地味な茶色がかっていますが、尾びれの先端が赤く染まるのが特徴です。岩礁やサンゴ礁の周辺を小群で泳ぎ、岩陰やサンゴの枝の間を素早く行き来します。ダイビング中に見つけるには、岩の割れ目やサンゴの根元に注目し、群れの動きを追うと良いでしょう。写真撮影では、太陽光が当たる角度を調整すると、体色の輝きが一段と美しく写ります。面白い生態として、オスは求愛時に体をくねらせながら鮮やかな色を誇示する行動が知られており、観察のチャンスです。
タテヤマベラ,Cymolutes torquatus,南日本の太平洋岸、琉球列島；インド・西太平洋,サンゴ礁域の砂底や藻場,10cm,23m,白と黒の縞模様が特徴の小さなベラ。砂底を素早く泳ぎ、警戒すると砂に潜ります。,タテヤマベラは、白と黒のコントラストが美しい縞模様が特徴の小型ベラです。体長は約10cmで、サンゴ礁域の砂底や藻場に生息しています。ダイバーが近づくと素早く砂に潜る習性があり、観察には静かなアプローチが不可欠です。写真撮影では、縞模様と砂地のコントラストが映え、特に日光が差し込む浅瀬での撮影がおすすめです。面白いエピソードとして、縞模様が個体によって微妙に異なるため、個体識別が楽しめる点も魅力です。ダイバー目線では、砂地の地形変化や藻場の近くを重点的に探すと発見しやすくなります。
ハシナガベラ,Wetmorella nigropinnata,八丈島、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,6cm,20m,小さな黒い斑点が目立つ赤褐色の魚。細長い体と尖った口が特徴で、岩陰に隠れています。,ハシナガベラは、全身が赤褐色で小さな黒い斑点が散在する美しい魚で、体長は最大でも6cmほどと小柄です。細長い体と尖った口が特徴で、岩礁やサンゴ礁の隙間や岩陰に潜んでいることが多いです。臆病な性質で、ダイバーが近づくと素早く隠れてしまいますが、じっと観察しているとゆっくりと泳ぎ出す様子が見られます。撮影時は、自然な色合いが水中で映えるため、赤いサンゴや青い海を背景にするとより魅力的です。豆知識として、学名の「nigropinnata」は「黒いヒレ」を意味し、実際にヒレの一部が黒く染まっている点も見どころの一つです。
クジャクベラ,Paracheilinus carpenteri,南日本の太平洋岸、琉球列島；西部太平洋の熱帯域,サンゴ礁域、潮通しのよい斜面,7cm,30m,鮮やかな青とピンクのストライプが特徴の小さなベラ。サンゴ礁の斜面をヒラヒラ泳ぎます。,クジャクベラは、体長約7cmの小さなベラで、名前の通りクジャクのような鮮やかな青とピンクのストライプ模様が特徴です。特にオスは繁殖期に色彩がさらに輝き、メスを惹きつけるためにヒレを広げて優雅に泳ぎます。サンゴ礁域の潮通しのよい斜面に生息し、群れで行動することが多いです。ダイビング中は、サンゴの間をすばやく移動する姿を観察できます。写真撮影の際は、青い海を背景にしたストライプ模様が特に映え、マクロレンズで撮るとその美しさが引き立ちます。面白い生態として、夜間は砂の中に潜って眠る習性があります。初心者ダイバーにも見つけやすく、南日本の海で出会える幸運な生物の一つです。
ヨコシマニセモチノウオ,Pseudocheilinus ocellatus,八丈島、琉球列島、小笠原諸島；ハワイ諸島を除く中・西部太平洋の熱帯域,岩礁域やサンゴ礁域、潮通しのよい所,6cm,30m,体に横縞模様がある小さな魚。岩陰やサンゴの周りを素早く泳ぎます。,ヨコシマニセモチノウオは、体に鮮やかな横縞模様が入った小さな魚で、最大で6cmほどに成長します。岩礁域やサンゴ礁域の潮通しの良い場所を好み、岩陰やサンゴの隙間を素早く泳ぎ回ります。体色は赤みがかったオレンジで、横縞は白色や薄黄色が特徴的です。ダイビングでは、岩の陰やサンゴの周辺を注意深く観察すると見つけることができます。写真撮影では、その鮮やかな色合いと模様が引き立ち、特に自然光が当たると美しく映えます。豆知識として、この魚は非常に警戒心が強く、近づくとすぐに隠れてしまうため、ゆっくりと近づくことが観察のポイントです。
ニセモチノウオ,Pseudocheilinus hexataenia,八丈島、和歌山県以南、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域、礁斜面のサンゴの周り,5cm,25m,鮮やかな青とオレンジの縞模様が特徴の小さな魚。サンゴの陰を素早く泳ぎます。,体長約5cmの小さな魚で、青とオレンジの縞模様が非常に目を引きます。特に青い線は光の加減でキラキラと輝き、ダイバーの注目を集めます。サンゴ礁域や岩礁域の浅い場所に生息し、サンゴの枝の間や岩の陰を素早く泳ぎ回る習性があります。観察時は、サンゴの周りを注意深く見渡すと見つけやすいでしょう。写真撮影では、その鮮やかな色彩と細かな模様が魅力的で、マクロレンズでの接写がおすすめです。面白い生態として、危険を感じるとサンゴの隙間に隠れることが知られています。ダイバーにとっては、その美しさと小さなサイズから「海の宝石」とも呼ばれることがあります。
ヨスジニセモチノウオ,Pseudocheilinus tetrataenia,奄美大島、沖縄県久米島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域、礁斜面の潮通しのよい所,5cm,30m,鮮やかな青とオレンジの縞模様が目立つ小さな魚。サンゴの根元を素早く泳ぎ回ります。,ヨスジニセモチノウオは、深い青色の体にオレンジ色の縞模様が4本入った美しい小型魚です。体長は約5cmと小さいですが、その派手な色彩で水中でもよく目立ちます。サンゴ礁域や礁斜面の潮通しの良い場所に生息し、サンゴの根元や岩の隙間を素早く泳ぎ回るのが特徴です。ダイビング中に見つけるには、サンゴの陰や岩の周辺を注意深く観察しましょう。写真撮影では、その鮮やかな色合いが青い海に映え、特に自然光が当たると一層美しく見えます。実は、この魚は擬態が得意で、危険を感じると素早くサンゴの隙間に隠れてしまいます。ダイバーにとっては、その小ささと速さが観察の難点ですが、見つけた時の喜びは格別です。
ヒメニセモチノウオ,Pseudocheilinus evanidus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域、礁池内などの波静かな所,7cm,14m,小さな赤紫色の魚で、体に白い縦線が入る。サンゴの陰でじっとしてる姿がよく見られます。,ヒメニセモチノウオは体長7cmほどの小さなベラで、赤紫色の体に白い縦線が特徴的です。岩礁やサンゴ礁の陰に隠れるようにして生息し、警戒心が強く、ダイバーが近づくと素早く逃げ込みます。観察する際はゆっくりと近づき、岩陰やサンゴの隙間を注意深く見るのがポイントです。写真撮影では、鮮やかな体色が水中で映えるため、自然光でも美しく撮影できます。面白いことに、この魚は夜になると体色を暗く変化させ、寝床となる岩の隙間に潜り込む習性があります。ダイバーにとっては、その小さな体と繊細な模様が魅力で、見つけた時の喜びが大きい魚です。
ヤスジニセモチノウオ,Pseudocheilinus octotaenia,八丈島、和歌山県以南〜琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、礁斜面などの枝状のサンゴの周り,10cm,8m,青い体に鮮やかなオレンジの縦じまが目立つ小型のベラ。枝サンゴの周りを素早く泳ぎます。,ヤスジニセモチノウオは、コバルトブルーの体に8本の鮮やかなオレンジ色の縦じまが特徴的な美しいベラの仲間です。体長は約10cmと小型で、枝状サンゴの周りを素早く行き来する姿が観察されます。警戒心が強く、近づくとサンゴの隙間に隠れることが多いため、ゆっくりと近づくのが観察のコツです。鮮やかな色合いは水中写真の被写体として人気で、青い海に浮かぶオレンジのストライプが印象的です。学名の「octotaenia」は「8本の帯」を意味し、その模様を正確に表しています。八丈島以南の暖かい海で出会えるチャーミングな魚です。
ギチベラ,Epibulus insidiator,和歌山県、琉球列島；インド・太平洋,岩礁域やサンゴ礁域、サンゴ礁の浅所,4cm,5m,小さな体に鮮やかな黄色と黒の縞模様が特徴。岩陰を素早く泳ぎ回ります。,ギチベラは体長約4cmの小型魚で、鮮やかな黄色の体に黒い縞模様が目を引きます。岩礁域やサンゴ礁の浅所に生息し、岩陰やサンゴの隙間を素早く泳ぎ回る姿が観察できます。ダイビング中は岩の多い場所を注意深く探すと見つけやすく、群れで行動することが多いです。写真撮影ではその鮮やかな色彩が水中で映え、特に自然光が当たるとより一層美しく見えます。豆知識として、学名の「insidiator」はラテン語で「待ち伏せする者」を意味し、獲物を待ち構える習性に由来しています。ダイバーにとってはその愛らしい姿と活発な動きが魅力で、初心者でも楽しめる観察対象です。
メガネモチノウオ,Cheilinus undulatus,和歌山県、琉球列島、インド・太平洋,岩礁域、サンゴ礁域,1m,12m,大きな体に青い模様が目立つ魚。額が張り出した特徴的な顔をしています。,メガネモチノウオは、全長1mに達する大型のベラの仲間で、青緑色の体に波打つような青い模様が特徴的です。特に成魚は額が大きく張り出し、威風堂々とした姿をしています。サンゴ礁や岩礁の斜面に生息し、単独でゆったりと泳ぐ姿が観察されます。ダイビングでは、日中に岩陰やサンゴの近くで休んでいるところを見かけることが多く、接近してもあまり逃げないため、撮影しやすい被写体です。豆知識として、性転換を行う魚として知られ、幼魚はメスで、成長に伴いオスに性転換します。その巨大な体と独特の模様は、ダイバーにとって忘れられない出会いとなるでしょう。
ヤシャベラ,Cheilinus fasciatus,琉球列島、インド・太平洋,サンゴ礁域、潮通しのよい浅所,20cm,12m,赤と白の縞模様が目立つベラの仲間。サンゴの周りを素早く泳ぎ回ります。,ヤシャベラは赤と白の縞模様が特徴的なベラの一種で、体長は約20cm。サンゴ礁の浅場に生息し、潮通しの良い場所を好みます。背びれの先端が伸びる個体も見られ、水族館でも人気です。ダイビングではサンゴの間を素早く移動する姿が観察でき、警戒心が強く近づくとサンゴの陰に隠れることも。写真撮影では縞模様とサンゴのコントラストが魅力的で、特に午前中の日光が差し込む時間帯がおすすめです。琉球列島では比較的よく見られる種で、初心者ダイバーでも気軽に観察できるのもポイントです。
ミツバモチノウオ,Cheilinus trilobatus,琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、水深15m程の潮通しのよい所,30cm,12m,赤褐色の体に白い斑点が散らばるウツボ。サンゴ礁の隙間に潜み、鋭い歯が特徴です。,赤褐色の体に白い小さな斑点が散らばる美しいウツボで、最大で30cmほどに成長します。サンゴ礁の隙間や岩陰に潜み、夜間に活動的にエサを探します。鋭い歯と大きな口が特徴で、近づくと威嚇するように口を開ける姿が見られます。ダイビングでは潮通しの良いサンゴ礁域で観察でき、慎重に近づけば写真撮影も可能です。意外と好奇心が強く、ダイバーをじっと見つめることもあります。
アカテンモチノウオ,Cheilinus chlorourus,駿河湾、南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,22cm,15m,体に赤い斑点が散りばめられた緑がかった魚。岩陰をゆっくり泳ぎます。,アカテンモチノウオは、緑がかった体色に赤い斑点が散りばめられた美しいベラの仲間です。体長は最大22cm程度で、岩礁やサンゴ礁の周辺をゆったりと泳ぐ姿が観察されます。特に岩陰やサンゴの隙間を好み、警戒心が強いため、近づく際はゆっくりとアプローチしましょう。写真撮影では、赤い斑点が光に反射して輝く様子が魅力的で、自然光でも十分に映えます。面白い生態として、夜間は砂に潜って眠る習性があり、ダイビング中に偶然その姿を見つけることもあります。初心者ダイバーにも見つけやすく、南日本の海でぜひ探してみてください。
ミツボシモチノウオ,Cheilinus oxycephalus,琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域,12cm,7m,青い体に3つの白い斑点が特徴の小さな魚。サンゴの周りを素早く泳ぎます。,ミツボシモチノウオは、鮮やかな青い体に3つの白い斑点が目立つ、体長12cmほどの小型のベラの仲間です。サンゴ礁域の浅い水深（約7m）に生息し、サンゴの枝間や岩陰を素早く泳ぎ回ります。特に幼魚は体色がより鮮やかで、観察しやすいです。ダイビングでは、サンゴの根元や隙間を注意深く見渡すと、ちらりと青い影が動くのが見つかります。写真撮影では、青と白のコントラストが水中で非常に映え、被写体として人気があります。面白いことに、この魚は夜になると砂の中に潜って眠る習性があります。初心者ダイバーにも見つけやすく、サンゴ礁の生態系を感じられる魅力的な種です。
ヒトスジモチノウオ,Oxycheilinus unifasciatus,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域、サンゴ礁域,15cm,8m,体に1本の黒い線が入った赤褐色の魚。岩陰にひそむように泳ぎます。,ヒトスジモチノウオは、赤褐色の体に1本の黒い縦線が特徴的な小型のベラです。体長は約15cmで、岩礁やサンゴ礁の隙間を素早く泳ぎ回ります。日中は岩陰に隠れる習性があり、ダイバーが近づくとサッと逃げる姿が観察できます。写真撮影では、赤褐色の体色と黒い線のコントラストが美しく、自然光でも鮮やかに写ります。面白いエピソードとして、オスは求愛時に体色をより鮮やかに変化させることが知られています。初心者ダイバーでも比較的見つけやすく、岩礁域を注意深く観察すると遭遇できるでしょう。
ハナナガモチノウオ,Oxycheilinus celebicus,和歌山県以南、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域,15cm,8m,ピンク色の体に白い斑点が特徴の小さなベラ。サンゴの周りを活発に泳ぎます。,ハナナガモチノウオは、ピンクがかった体色に白い斑点が散りばめられた美しいベラの一種です。体長は約15cmと小型で、サンゴ礁の隙間や枝サンゴの周囲を素早く泳ぎ回ります。特にオスは求愛時に鮮やかな色合いを強調し、ダイバーの目を楽しませてくれます。観察のコツは、サンゴの陰や岩場の近くをゆっくりと泳ぎながら探すこと。写真撮影では、その可憐な姿とサンゴとのコントラストが魅力です。面白い生態として、夜間は砂に潜って眠る習性があります。
タコベラ,Oxycheilinus bimaculatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域、藻場やガレ場,10cm,15m,体に2つの黒い斑点がある赤褐色のベラ。岩陰を素早く泳ぎ回ります。,タコベラは赤褐色の体色に2つの特徴的な黒い斑点（体側と尾柄部）を持つ小型のベラです。最大で10cmほどに成長し、岩礁やサンゴ礁のガレ場や藻場に単独で生息します。ダイビング中には岩陰を素早く行き来する姿が観察でき、警戒心が強いため近づく際はゆっくりとアプローチすると良いでしょう。写真撮影では赤みを帯びた体色と黒い斑点のコントラストが魅力的で、海藻の緑やサンゴの色と合わせるとより映える被写体です。学名の「bimaculatus」は「2つの斑点」を意味し、和名の「タコベラ」は「タコ（蛸）」に似た色合いから付けられたと言われています。
ホホスジモチノウオ,Oxycheilinus digramma,和歌山県以南、琉球列島；インド・太平洋,サンゴ礁域,20cm,10m,体にピンク色の横縞が入ったウミウシのような魚。サンゴの陰でじっとしていることが多い。,ホホスジモチノウオは、ピンクがかった体に特徴的な横向きの黒い縞模様が入る中型のベラの仲間です。体長は約20cmで、サンゴ礁の根元や岩の割れ目に隠れるように生息しています。警戒心が強く、近づくと素早く岩陰に逃げ込む姿が観察されます。ダイビングでは、サンゴの陰をゆっくりと観察すると見つけやすく、赤みを帯びた体色が水中で美しく映えるため写真撮影にも最適です。面白いことに、夜になると砂中に潜って眠る習性があります。
ホシテンス,Iniistius pavo,南日本、琉球列島、小笠原諸島；インド・汎太平洋,サンゴ礁域や岩礁域、潮通しのよい砂底,40cm,20m,青白い体に黒い斑点が特徴の魚。砂底を泳ぎ、背びれが長く伸びる姿がエレガントです。,ホシテンスは、青みがかった銀白色の体に黒い斑点が散りばめられた美しい魚で、最大で40cmほどに成長します。背びれが長く伸び、優雅に泳ぐ姿が印象的です。サンゴ礁域や岩礁域の砂底に生息し、潮通しのよい場所を好みます。ダイビングでは、砂地の上をゆっくりと泳いでいる様子を観察できます。写真撮影の際は、背びれを広げた瞬間を狙うとよりドラマチックなショットが撮れます。ホシテンスは幼魚の頃は黄色っぽい体色で、成長とともに青白く変化するという面白い特徴があります。ダイバーにとっては、その優雅な泳ぎと斑点模様が水中での被写体として人気です。
テンス,Iniistius dea,南日本；東部インド洋～西部太平洋の熱帯域,沿岸浅所の砂底や砂泥底,2.5cm,12m,小さくて透明感のある体に青い斑点が特徴の魚。砂底を素早く泳ぎます。,テンスは体長2.5cmほどの小さな魚で、透明感のある体に鮮やかな青い斑点が散りばめられた美しい外見が特徴です。砂底や砂泥底を好み、素早く泳ぎ回る姿が観察されます。ダイビングでは、浅い沿岸部の砂地を注意深く見渡すと、時折群れで泳いでいるのが見つかります。写真撮影では、太陽光が当たると青い斑点がキラリと光り、非常にフォトジェニックです。豆知識として、学名の「Iniistius dea」はラテン語で『女神』を意味し、その可憐な姿から名付けられました。初心者ダイバーにも見つけやすく、小さな生き物観察の入門種としておすすめです。
ヒラベラ,Iniistius pentadactylus,南日本の太平洋岸、琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の砂底や砂泥底,25cm,5m,平たい体と青っぽい斑点が特徴のベラ。砂底に潜む姿が見られます。,ヒラベラは体が左右に平たく、銀色の地に青っぽい斑点が散らばる美しいベラです。砂底や砂泥底に潜む習性があり、危険を感じると素早く砂に潜り込みます。ダイビングでは、砂地の縁やサンゴ礁の近くをゆっくり泳ぎながら探すと見つけやすいです。写真撮影では、砂から顔を出した瞬間や群れで泳ぐ姿が魅力的。豆知識として、幼魚は成魚とは異なる色彩を持ち、成長に伴って模様が変化します。
ハゲヒラベラ,Iniistius aneitensis,高知県以南、琉球列島、インド・太平洋,サンゴ礁域の開けた砂底,35cm,20m,砂地にすむ銀色の体に黒い縦線が目立つ魚。驚くと素早く砂に潜ります。,ハゲヒラベラは銀色の体に黒い縦線が入った、砂地でよく見かけるベラの仲間です。体長は最大35cmほどで、平たい体形が特徴。警戒心が強く、ダイバーが近づくと素早く砂に潜る習性があります。サンゴ礁周辺の開けた砂底で単独で生息し、主に小魚や甲殻類を捕食します。観察の際はゆっくりと近づき、砂に潜る瞬間を狙うのがポイント。銀色の体が陽光を反射して美しく、水中写真の被写体としても人気があります。学名のaneitensisは、最初に発見されたバヌアツのアネイティュム島に由来します。
オオヒレテンスモドキ,Novaculoides macrolepidotus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,サンゴ礁域のアマモ場,15cm,2m,銀白色の体に黒い縦線が入ったスマートな魚。アマモの間を素早く泳ぎ回ります。,オオヒレテンスモドキは、銀白色の体に目立つ黒い縦線が特徴の小型魚です。尾びれが大きく発達しており、アマモ場を素早く泳ぎ回る姿が観察できます。日中は小さな群れを作り、甲殻類や小型の無脊椎動物を捕食します。ダイビングでは、アマモが茂る浅瀬を注意深く観察すると、太陽の光を反射してキラキラと輝く姿が見つかります。撮影時は、アマモの緑と銀色の体のコントラストが美しく、特にサイドショットがおすすめです。面白いことに、危険を感じるとアマモの葉の間に隠れる習性があり、ダイバーの動きに敏感に反応します。
オビテンスモドキ,Novaculichthys taeniourus,南日本の太平洋岸、琉球列島、小笠原諸島,サンゴ礁域のガレ場,10cm,25m,体に黒と白の横縞模様がある小さな魚。ガレ場を素早く泳ぎ回ります。,オビテンスモドキは、黒と白の鮮やかな横縞模様が特徴の10cmほどの小さな魚で、体は細長く、尾びれがやや丸みを帯びています。サンゴ礁域のガレ場や岩の隙間を好み、素早く泳ぎ回る姿が観察できます。ダイビング中に見つけるには、岩陰やサンゴの根元を注意深く探すことがポイントです。写真撮影では、そのコントラストの強い模様が水中で非常に目立ち、特に自然光が当たるとより一層美しく映えます。面白い生態として、幼魚の頃は体色が全く異なり、成長とともに横縞模様がはっきりしてきます。ダイバーにとっては、その小さなサイズと敏捷な動きから、観察の楽しみが広がる魚です。
