和名,学名,分布,生息場所,体長,深さ
ゴウシュウベニツケガニ,Thalamita coeruleipes,琉球列島、ハワイ、南太平洋、オーストラリア、インド洋,サンゴ礁、礁原、礁池、タイドプール,,1～10m
フタバベニツケガニ,Thalamita sp.,房総半島以南、越前、ハワイ、南太平洋、オーストラリア、インド洋、紅海,岩礁、礁原、礁斜面、転石帯,,2～40m
フタバベニツケガニモドキ,Thalamita admete,土佐湾以南、ハワイ、南太平洋、オーストラリア、インド洋、紅海、アフリカ東岸,サンゴ礁、砂底,,2～30m
ヒメミドリベニツケガニ,Thalamitoides niidus,琉球列島、ミクロネシア、南太平洋、インド洋,サンゴ礁、礁原、礁斜面、岩盤、枝状サンゴ,,2～15m
コウガイメナガガザミ,Podophthalmus vigil,駿河湾～琉球列島,内湾、砂底、砂泥底,,10～50m
ヒメメナガガザミ,Podophthalmus naore,相模湾～紀伊半島、アンダマン海、インド洋西部,内湾、砂泥底,,18～30m
アカモンガニ,Carpilium maculatum,紀伊半島以南、伊豆諸島、ハワイ、南太平洋、オーストラリア、インド洋、紅海、南アフリカ,サンゴ礁、岩礁、礁原、礁斜面,,3～35m
ユウモンガニ,Carpilium convexum,相模湾以南、伊豆諸島、ハワイ、南太平洋、オーストラリア、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、礁原、礁斜面,,3～35m
ゴイシガニ,Palapedia integra,東京湾～九州、フィリピン、南太平洋、アンダマン海、インド洋東部,岩礁、礁原、礁斜面、転石下、礫砂底,,2～15m
フタバゴイシガニ,Palapedia bongensis,相模湾以南、フィリピン,岩礁、礁原、礁斜面、転石下、礫砂底,,2～15m
ベニオウギガニ,Liomera tristis,東京湾以南、東南アジア、南太平洋、インド洋東部,サンゴ礁、岩礁、礁原、礁斜面、転石下、礁壁,,2～30m
オガサワラベニオウギガニ,Liomera boninensis,相模湾～土佐湾、小笠原諸島、東シナ海,岩礁、礁原、礁斜面、転石帯、礁壁,,10～100m
チリメンベニオウギガニ,Liomera erythra,相模湾以南、台湾、中国、タイ、インドネシア,サンゴ礁、岩礁、礁原、礁斜面、転石帯、礁壁,,2～15m
シロスジベニオウギガニ,Liomera tristicha,琉球列島、小笠原諸島、フィリピン、ハワイ、南太平洋、インド洋、紅海,サンゴ礁、岩礁、礁原、礁斜面、転石帯、礁壁,,2～15m
ヒメベニオウギガニ,Liomera laevis,紀伊半島以南、フィリピン、南太平洋、紅海,サンゴ礁、岩礁、礁原、礁斜面、転石帯、礁壁,,2～25m
ヒラベニオウギガニ,Neoliomera iridans,相模湾以南、伊豆諸島、フィリピン、南太平洋、オーストラリア、インド洋東部,サンゴ礁、岩礁、礁原、礁斜面、転石帯、礁壁,,2～30m
ツブヒラオウギガニ,Neoliomera pubescens,相模湾～土佐湾、フィリピン,岩礁、礁原、礁斜面、転石下、礁壁,,2～35m
ウモレオウギガニ,Zosimus aeneus,琉球列島、小笠原諸島、ハワイ、南太平洋、インド洋、紅海,サンゴ礁、岩礁、礁原,,1～5m
ベニヒロハオウギガニ,Lophozozymus pictor,琉球列島、ハワイ、南太平洋、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、礁原、礁池、転石下、サンゴ瓦礫,,1～10m
オオヒロハオウギガニ,Lophozozymus octodentatus,紀伊半島沿岸、伊豆諸島、インドネシア、ハワイ、オーストラリア,サンゴ礁、岩礁、礁原、礁斜面、転石下、礁壁,,15～35m
スベスベマンジュウガニ,Atergatis floridus,房総半島以南、ハワイ、南太平洋、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、転石帯,,1～10m
アカマンジュウガニ,Atergatis subdactylus,相模湾～土佐湾,岩礁、礁原、礁斜面、転石帯、礁壁,,5～30m
ホシマンジュウガニ,Atergatis integerrimus,東京湾～九州、香港、フィリピン、南太平洋、インド洋,岩礁、礁原、礁斜面、転石帯、礁壁,,5～50m
トリジュウガニ,Atergatis reticulatus,房総半島～九州（太平洋側）、秋田県以南（日本海側）、香港,岩礁、礁原、礁斜面、転石帯、礁壁,,2～30m
シンオウギガニ,Euanthus exsculptus,鹿児島以南、フィリピン、南太平洋、オーストラリア、インド洋中部,サンゴ礁、岩礁、礁原,,1～10m
オウギガニ,Leptodius exaratus,房総半島以南、韓国、中国、ハワイ、南太平洋、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、礁原、タイドプール、転石下,,1～10m
ムツハオウギガニ,Leptodius sanguineus,三浦半島以南、小笠原諸島、ハワイ、南太平洋、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、礁原、タイドプール、転石下,,1～10m
スエヒロガニ,Medaeops granulosus,東京湾～奄美大島、韓国、中国、オーストラリア、インド洋、紅海、アフリカ東岸,岩礁、礁原、転石下、砂礫底,,1～10m
ヒメシワオウギダマシ,Mararenella partitumanus,相模湾～九州、インドネシア,岩礁、礁原、転石下、砂礫底,,2～30m
カノコマダラガニ,Xanthias punctatus,琉球列島以南、南太平洋,サンゴ礁、岩礁、礁原、転石下、サンゴ瓦礫,,1～10m
トガリオウギガニ,Cycloxanthops truncatus,房総半島～奄美大島,岩礁、礁原、転石帯,,2～10m
ウスハオウギガニ,Neoxanthops lineatus,房総半島～九州、タイ、南太平洋、オーストラリア、インド洋、紅海,岩礁、礁原、礁斜面、転石帯,,2～15m
カルマンガニ,Calmania primna,相模湾～九州、インド洋東部,礁原、礁斜面、砂礫底、砂底、転石下,,5～85m
サメハダオウギガニ,Atergatopsis germaini,房総半島以南（太平洋側）、富山湾以南（日本海側）、東シナ海、インド洋、紅海、アフリカ東岸,岩礁、礁原、礁斜面、転石帯,,1～300m
エリアシアワツブガニ,Psaumis caelipes,駿河湾以南、ハワイ、南太平洋、オーストラリア、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、礁原、礁池、転石下、サンゴ瓦礫,,1～10m
ビロードアワツブガニ,Actaeodes tomentosus,鹿児島以南、小笠原諸島、ハワイ、南太平洋、オーストラリア、インド洋、紅海、アフリカ東岸,サンゴ礁、礁原、礁池,,1～10m
ヒラアワツブガニ,Forestia depressa,相模湾以南、小笠原諸島、フィリピン、アンダマン海、インド洋東部、南アフリカ,サンゴ礁、岩礁、礁原、礁斜面、転石帯、礁壁,,1～20m
ケブカアワツブガニ,Gaillardiellus orientalis,相模湾～九州（太平洋側）、山形県以南（日本海側）、韓国、中国,岩礁、礁原、礁斜面、転石下,,1～30m
ケブカアワツブモドキ,Paractaea rufopunctata,伊豆半島以南、東アジア、ミクロネシア、南太平洋,サンゴ礁、岩礁、礁原、礁池、礁壁,,3～15m
ヒヅメガニ,Etisus splendidus,房総半島以南、ハワイ、南太平洋、オーストラリア、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、礁原、礁斜面、転石帯,,1～10m
トガリヒヅメガニ,Etisus anaglyptus,東京湾以南、中国、ハワイ、南太平洋、オーストラリア、インド洋、紅海,サンゴ礁、岩礁、礁原、礁斜面、転石帯,,1～10m
アカヒヅメガニ,Etisus dentatus,鹿児島以南、伊豆諸島、ハワイ、南太平洋、オーストラリア、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、礁原、礁斜面、転石帯,,1～30m
オオアカヒヅメガニ,Etisus splendidus,琉球列島、伊豆諸島以南、ハワイ、ミクロネシア、南太平洋、インド洋、紅海,サンゴ礁、礁原、礁斜面,甲幅10cm,1～30m
ツブヒヅメオウギガニ,Pilodius areolatus,琉球列島、インドネシア、インド洋西部,サンゴ礁、礁原、礁池、サンゴ瓦礫,甲幅2cm,1～10m
テナガオウギガニ,Chlorodiella laevissima,相模湾以南、ハワイ、南太平洋、インド洋,サンゴ礁、岩礁、礁原、礁斜面、サンゴ瓦礫,甲幅1cm,8～40m
クロテナガオウギガニ,Chlorodiella nigra,相模湾以南、東南アジア、ハワイ、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、礁原、礁斜面、サンゴ瓦礫、枝状サンゴ,甲幅1.5cm,0～5m
アワハダキモガニ,Cymo quadrilobatus,琉球列島、東南アジア、インド洋,サンゴ礁、枝状サンゴ,甲幅1cm,1～10m
キモガニ,Cymo melanodactylus,紀伊半島以南、南太平洋、オーストラリア、インド洋、紅海,サンゴ礁、枝状サンゴ,甲幅2cm,1～10m
ヒメキモガニ,Cymo andreossyi,紀伊半島以南、南太平洋、オーストラリア、インド洋、紅海,サンゴ礁、枝状サンゴ,,1～10m
キンチャクガニ,Lybia tessellata,琉球列島、伊豆諸島、東南アジア、南太平洋、インド洋、紅海,サンゴ礁、岩礁、転石下,,2～10m
ヒメキンチャクガニ,Lybia edmondsoni,琉球列島、伊豆諸島、ハワイ、ミクロネシア、インド洋西部、紅海,岩礁、礁原、礁斜面、転石下,,2～90m
ケブカキンチャクガニ,Polydectus cupulifer,琉球列島、伊豆諸島、ハワイ、南太平洋、インド洋、紅海,岩礁、礁原、礁斜面、転石下,,2～30m
ドロイシガニ,Trichia dromiaefomis,東京湾～九州、オーストラリア,内湾、砂泥底,,17～100m
オオタマオウギガニ,Banareia obtusifrons,相模湾～紀伊半島、東シナ海,岩礁、礁原、礁斜面、カイメン類,,10～30m
タマオウギガニ,Banareia subglobosa,相模湾～九州、香港,サンゴ礁、岩礁、礁原、礁斜面、ウミトサカ,,5～35m
マルタマオウギガニ,Cabactaea tumida,相模湾、紀伊半島、オーストラリア,サンゴ礁、岩礁、礁原、礁斜面、ウミトサカ,,5～30m
カノコオウギガニ,Daira perlata,鹿児島以南、小笠原諸島、東南アジア、ハワイ、インド洋、紅海、アフリカ東岸,サンゴ礁、礁原、礁池、タイドプール,,1～10m
マツバガニ,Hypothalassia armata,東京湾～九州、東シナ海、ミクロネシア,岩礁、礁斜面、礁壁、亀裂,,35～120m
スベスベオウギガニ,Sphaerozius nitidus,仙台湾以南、韓国、香港、ハワイ、南太平洋、インド洋、紅海、南アフリカ,岩礁、礁原、転石下、防波堤,,1～10m
クマドリオウギガニ,Baptozius vinosus,琉球列島、東南アジア、南太平洋、アンダマン海,河口、転石帯、マングローブ林床,,低潮線～高潮線以上
キバオウギガニ,Lydia annulipes,奄美大島以南、小笠原諸島、ハワイ、南太平洋、インド洋、アフリカ東岸,サンゴ礁、岩礁、砂浜、タイドプール、転石下,,高潮線付近
イボイワオウギガニ,Eriphia smithii,東京湾以南、伊豆諸島、ハワイ、南太平洋、インド洋、紅海、アフリカ東岸,サンゴ礁、岩礁、砂浜、タイドプール、転石下,,低潮線～高潮線以上
ヒメイワオウギガニ,Eriphia scabricula,奄美大島以南、小笠原諸島、ハワイ、南太平洋、インド洋、紅海、アフリカ東岸,サンゴ礁、礁原、礁池、タイドプール、転石下、枝状サンゴ,,低潮線～高潮線以上
ケブカガニ,Pilumnus vespertilio,相模湾以南、ハワイ、南太平洋、インド洋、紅海、南アフリカ,サンゴ礁、岩礁、礁原、礁池、潮間帯,,1～3m
ヒメケブカガニ,Pilumnus minutus,青森県以南、マレーシア、南太平洋、インド洋,岩礁、礁原、礁斜面、転石帯,,1～50m
オオケブカガニ,Pilumnus longicornis,東京湾～奄美大島、オーストラリア,岩礁、礁原、礁斜面、転石帯,,2～25m
オオケブカガニモドキ,Pilumnus scabiosus,伊豆半島以南、東南アジア、南太平洋、アンダマン海、インド洋,岩礁、礁原、礁斜面、転石帯,,2～30m
オキナガニ,Heteropilumnus ciliatus,東京湾～九州、韓国、中国北部,岩礁、礁原、転石下,,1～7m
シンイボテガニ,Neoadumtus convexus,相模湾～紀伊半島沿岸,岩礁、礁斜面、ナシジイソギンチャク類,,20～45m
ヒメドメシアガニ,Domecia glabra,琉球列島、ミクロネシア、南太平洋、アンダマン海、インド洋,サンゴ礁、枝状サンゴ,,1～10m
オオアカホシサンゴガニ,Trapezia rufopunctata,奄美大島以南、小笠原諸島、東南アジア、ハワイ、南太平洋,サンゴ礁、枝状サンゴ,,1～20m
アラメサンゴガニ,Trapezia flavopunctata,奄美大島以南、小笠原諸島、東南アジア、ハワイ、南太平洋、インド洋,サンゴ礁、枝状サンゴ,,1～20m
アミメサンゴガニ,Trapezia septata,相模湾以南、東南アジア、ハワイ、南太平洋、インド洋,サンゴ礁、枝状サンゴ,,1〜20m
カバイロサンゴガニ,Trapezia tigrina,奄美大島以南、小笠原諸島、東南アジア、ハワイ、南太平洋、インド洋、紅海,サンゴ礁、枝状サンゴ,,1〜20m
サンゴガニ,Trapezia ryodoce,駿河湾以南、ハワイ、南太平洋、インド洋、紅海,サンゴ礁、枝状サンゴ,,1〜20m
クロサンゴガニ,Trapezia digitalis,土佐湾以南、伊豆諸島、ハワイ、南太平洋、東大平洋（カリフォルニア〜パナマ）、インド洋、紅海,サンゴ礁、枝状サンゴ,,1〜15m
アカエリサンゴガニ,Trapezia guttata,奄美大島以南、小笠原諸島、南太平洋、インド洋、紅海,サンゴ礁、枝状サンゴ,,1〜15m
ヒメサンゴガニ,Trapezia lutea,奄美大島以南、小笠原諸島、南太平洋、インド洋,サンゴ礁、枝状サンゴ,,1〜15m
クロエリサンゴガニ,Tetralia nigrolinae,奄美大島以南、小笠原諸島、南太平洋、インド洋,サンゴ礁、枝状サンゴ,,1～15m
ベニサンゴガニ,Quadrella reticulata,相模湾～紀伊半島、インド洋中部,岩礁、礁斜面、キサンゴ類,,15～100m
アシボソベニサンゴガニ,Quadrella gracilipes,相模湾～紀伊半島、インド洋西部・中部,岩礁、礁斜面、クダヤギ類,,15～30m
ホシベニサンゴガニ,Quadrella maculosa,紀伊半島以南、伊豆諸島、東南アジア、ミクロネシア、インド洋,サンゴ礁、礁斜面、ウミカラマツ類,,30～80m
アミメベニサンゴガニ,Quadrella serenei,紀伊半島以南、バヌアツ、フランス領ポリネシア、インド洋西部,サンゴ礁、礁斜面、ウミカラマツ類,,30〜80m
ウスイロサンゴガニ,Quadrella coronata,九州以南、東南アジア、インド洋,サンゴ礁、礁斜面、ウミカラマツ類,,30〜80m
ヒメマルバガニ,Eucrate sicatifrons,相模湾〜土佐湾、香港、アンダマン海、インド洋東部,内湾、砂泥底、転石下,,5〜120m
オカガニ,Cardisoma hirtipes,琉球列島、台湾、ミクロネシア、東南アジア、ハワイ、南太平洋、オーストラリア、インド洋,岩礁海岸、砂浜、干潟,,陸生
ミナミオカガニ,Cardisoma carnifex,与論島以南、台湾、ミクロネシア、東南アジア、南太平洋、インド洋,岩礁海岸、砂浜、干潟,,陸生
ムラサキオカガニ,Gecarcoillea lalandii,石垣島以南、台湾、東南アジア、インド洋東部,岩礁海岸、砂浜、干潟,甲幅6cm,陸生
イワガニ,Pachygrapsus crassipes,北海道南部以南、韓国、東大平洋（カリフォルニア～チリ）,岩礁海岸、波打ち際、転石帯,甲幅4.5cm,低潮線～高潮線付近
オオカクレイワガニ,Geograpsus crinipes,奄美大島以南、ハワイ、南太平洋、インド洋、紅海、アフリカ東岸,岩礁海岸,甲幅5.5cm,高潮線以上の陸上
カクレイワガニ,Geograpsus grayi,高知県以南、伊豆諸島、東南アジア、ハワイ、オーストラリア、インド洋、紅海、アフリカ東岸,岩礁海岸,甲幅4cm,高潮線以上の陸上
ミナミイワガニ,Grapsus albolineatus,相模湾以南、伊豆諸島、ハワイ、南太平洋、オーストラリア、インド洋、紅海、アフリカ東岸,岩礁海岸,甲幅5cm,低潮線以上の陸上
ハシリイワガニ,Metopograpsus thukuhar,奄美大島以南、ハワイ、南太平洋、インド洋、紅海、アフリカ東岸,内湾、河口、転石下,甲幅1cm,低潮線～高潮線
モクズガニ,Eriocheir japonica,北海道以南、小笠原諸島、ロシア、韓国、台湾、中国,川、河口、内湾、磯,,川～河口
イソガニ,Hemigrapsus sanguineus,北海道以南、韓国、台湾、中国北部、北アメリカ大西洋岸,岩礁、潮間帯、磯、護岸,,1～5m
ヒライソガニ,Gaetice depressus,北海道以南、韓国、台湾、中国北部,潮間帯、転石下、砂礫底、砂利底,,1m～高潮線付近
アカテガニ,Chiromantes haematocheir,岩手県以南（太平洋側）、秋田県以南（日本海側）、韓国、台湾、中国北部,海岸付近、河口付近、水辺近くの山、転石帯、土、草むら,,陸生
クロベンケイガニ,Chiromantes dehaani,房総半島以南（太平洋側）、男鹿半島以南（日本海側）、韓国、台湾、中国,河口、堤、原、軟土質、草むら,,低潮線以上の陸上
ベンケイガニ,Sesarma intermedium,房総半島以南、韓国、台湾、中国、マレーシア、インド洋東部,海岸付近、河口付近、水辺近くの山、崖、土、草むら,,陸生
カクベンケイガニ,Parasesarma pictum,房総半島以南（太平洋側）、男鹿半島以南（日本海側）、韓国、台湾、中国、インドネシア,海岸付近、河口付近、崖、土、草むら,,陸生
オオユビアカベンケイガニ,Parasesarma plicatum,房総半島〜九州、韓国、中国、マレーシア、インド洋、アフリカ東岸,海岸付近、河口付近、原、堤、土質,,低潮線以上の陸上
オオベンケイガニ,Neoepisesarma lafondi,西表島、マレーシア,河口、マングローブ林床の奥地、砂泥底,,低潮線以上
ハマガニ,Chasmagnathus convexus,東京湾以南（太平洋側）、福井県以南（日本海側）、韓国、台湾,海岸、河口、林、砂地,,陸生
アシハラガニ,Helice tridens,陸奥湾以南（太平洋側）、青森県以南（日本海側）、韓国、台湾,河口、アシ原、干潟、湿地,,低潮線の陸上
ミゾテアシハラガニ,Sarmatium oasum,石垣島以南、中国南部、ミクロネシア、マレーシア、インド洋、アフリカ東岸,河口、マングローブ林床、干潟、砂泥底,,低潮線以上
ショウジンガニ,Plagusia dentipes,岩手県以南、韓国、台湾、南太平洋,岩礁、礁原、礁斜面、転石帯,,1～25m
イボショウジンガニ,Plagusia tuberculata,房総半島以南、ハワイ、南太平洋、チリ、インド洋、アフリカ東岸,外洋、岩礁、磯、流木,,0～30m
トゲアシガニ,Percnon planissimum,房総半島以南、ハワイ、南太平洋、インド洋、紅海、アフリカ東岸,岩礁、転石帯、潮間帯,,0～3m
ミナミトゲアシガニ,Percnon abbreviatum,琉球列島、東南アジア、南太平洋、インド洋,サンゴ礁、礁原、水路、礁縁,,3～10m
ミナミコメツキガニ,Mictyris brevidactylus,種子島以南、台湾、東南アジア、南太平洋、オーストラリア,内湾、河口、干潟、砂泥底,,低潮線付近
コヤマメガニダマシ,Sakaina yobolai,北海道,岩礁、礁原、礁斜面、転石下、管棲多毛類,,2〜20m
オオシロピンノ,Pinnotheres sinensis,千葉県以南、韓国、中国北部,海岸、砂浜、藻場、二枚貝類（アサリ、ハマグリ、ムラサキイガイなど）,,1〜5m
ツノメガニ,Ocypode ceratophthalma,東京湾以南、伊豆諸島、東南アジア、ハワイ、南太平洋、オーストラリア、インド洋、紅海、アフリカ東岸,砂浜,,高潮線以上
スナガニ,Ocypode stimpsoni,岩手県～九州（太平洋側）、山形県～九州（日本海側）、台湾、韓国、中国北部,砂浜,,高潮線以上
ミナミスナガニ,Ocypode cordimana,相模湾以南、南太平洋、インド洋、紅海、アフリカ東岸,砂浜,,高潮線以上
コメツキガニ,Scopimera globosa,北海道南部以南、韓国、台湾、中国北部,内湾、河口、干潟、砂泥底,,高潮線～低潮線
チゴガニ,Ilyoplax pusilla,東京湾～九州、韓国,河口、干潟、砂泥底,,高潮線付近
ツノメチゴガニ,Tmethypocoelis ceratophora,奄美大島以南、台湾、香港、インドネシア,内湾、干潟、砂底、砂泥底,,低潮線～高潮線
ヤエヤマシオマネキ,Uca dussumieri,石垣島以南、東南アジア、ミクロネシア、オーストラリア,河口、干潟、砂泥底、マングローブ林床,,高潮線付近
リュウキュウシオマネキ,Uca coarctata,石垣島以南、東南アジア、南太平洋、オーストラリア,河口、干潟、砂泥底、マングローブ林床,,高潮線付近
ヒメシオマネキ,Uca vocans,九州以南、台湾、東南アジア、ミクロネシア,内湾、河口、干潟、砂泥底、マングローブ林床,,高潮線～低潮線付近
ルリマダラシオマネキ,Uca tetragonon,石垣島以南、ミクロネシア、南太平洋、インド洋,内湾、河口、干潟、礫底、転石帯,,高潮線付近
オキナワハクセンシオマネキ,Uca perplexa,奄美大島以南、ミクロネシア,河口、干潟、礫底、砂泥底,,高潮線付近
シモフリシオマネキ,Uca lactea,石垣島以南、東南アジア、ミクロネシア、南太平洋,河口、干潟、砂泥底、マングローブ林床,,高潮線付近
オサガニ,Macrophthalmus abbreviatus,東京湾以南、台湾、韓国、中国北部,内湾、干潟、砂底、砂泥底、転石帯,,低潮線付近
フタハオサガニ,Macrophthalmus convexus,琉球列島、台湾、東南アジア、ハワイ、南太平洋、オーストラリア、インド洋,河口、干潟、砂泥底,,低潮線付近
メナガオサガニ,Macrophthalmus aeneus,伊豆半島以南、石川県以南、東南アジア、ハワイ、南太平洋、オーストラリア、インド洋、紅海,内湾、砂泥底,,1～20m
ヤマトオサガニ,Macrophthalmus japonicus,青森県以南、韓国、台湾、中国北部、東南アジア、オーストラリア,内湾、河口、干潟、砂泥底、泥底,,低潮線付近
アシブトイトアシガニ,Grossopleura latipes,相模湾以南、マレーシア、ハワイ,岩礁、礁原、礁斜面、転石帯、港内,,2～15m
