和名,学名,分布,生息場所,体長,深さ
レモンスズメダイ,Chrysiptera rex,南日本の太平洋岸、八丈島、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域やサンゴ礁域の6m以浅、波の荒い小さな崖のような所,5cm,3m
ネズスズメダイ,Chrysiptera glauca,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,サンゴ礁域の2m以浅、礁原の潮間帯に多い,8cm,1m
ヤマブキスズメダイ,Amblyglyphidodon aureus,琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深12～35mの潮通しのよい斜面や崖,10cm,28m
クラカオスズメダイ,Amblyglyphidodon curacao,琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深1～15m,10cm,25m
ニセクラカオスズメダイ,Amblyglyphidodon ternatensis,八重山諸島；西部太平洋,サンゴ礁域の12m以浅、シカツノサンゴが多い礁池,8cm,5m
ナミスズメダイ,Amblyglyphidodon leucogaster,八丈島、琉球列島；インド・太平洋,サンゴ礁域の水深2〜45m、サンゴやウミシダの周辺,10cm,6m
クロスズメダイ,Neoglyphidodon melas,琉球列島；インド・西太平洋,サンゴ礁域の12m以浅、礁池,5cm,5m
ヒレナガスズメダイ,Neoglyphidodon nigroris,琉球列島；東部インド洋〜西部太平洋の熱帯域,サンゴ礁域の25m以浅、礁池、礁縁部,10cm,9m
アツクチスズメダイ,Cheiloprion labiatus,琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域の3m以浅、枝状ミドリイシ類の周辺,5cm,2m
セグロスズメダイ,Dischistodus melanotus,宮古諸島、八重山諸島；西部太平洋,サンゴ礁域の10m以浅、礁池,12cm,3m
ダンダラスズメダイ,Dischistodus prosopotaenia,琉球列島；東部インド～西部太平洋の熱帯域,サンゴ礁域の12m以浅、やや水の濁った浅所,11cm,2m
リボンスズメダイ,Neopomacentrus taeniurus,琉球列島；インド・西太平洋,河川の汽水域、港の中,6cm,1m
クロリボンスズメダイ,Neopomacentrus cyanomos,宮古諸島、八重山諸島；インド・西太平洋,サンゴ礁域の内湾性の砂泥底にある岩やサンゴの周り,8cm,5m
ヤノリボンスズメダイ,Neopomacentrus anabatoides,宮古諸島、八重山諸島；東部インド洋〜西部太平洋の熱帯域,サンゴ礁域、内湾,9cm,15m
アサドスズメダイ,Pomacentrus lepidogenys,八丈島、琉球列島；東部インド洋〜西部太平洋の熱帯域,サンゴ礁域、ウミシダやサンゴの周り,6cm,4m
フィリピンスズメダイ,Pomacentrus philippinus,琉球列島；インド・西太平洋,サンゴ礁域の礁縁部の小さな崖のような所,9cm,5m
ニセモンツキスズメダイ,Pomacentrus nigromarginatus,琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域の礁斜面,9cm,10m
モンツキスズメダイ,Pomacentrus alexanderae,琉球列島；西部太平洋,サンゴ礁域,7cm,7m
ソラスズメダイ,Pomacentrus coelestis,南日本の太平洋沿岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の温・熱帯域,サンゴ礁域や岩礁域の12m以浅、転石帯、サンゴのガレ場,3cm,5m
クジャクスズメダイ,Pomacentrus pavo,琉球列島；インド・太平洋,サンゴ礁域の16m以浅、サンゴの根の周辺やガレ場,6cm,5m
ネッタイスズメダイ,Pomacentrus moluccensis,和歌山県以南、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域の水深1～14m、転石やサンゴの周辺,5cm,5m
ニセネッタイスズメダイ,Pomacentrus amboinensis,琉球列島；西部太平洋,サンゴ礁域の水深2～40m,3cm,7m
メガネスズメダイ,Pomacentrus bankanensis,南日本の太平洋岸、八丈島、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、礁原,6cm,5m
オジロスズメダイ,Pomacentrus chrysurus,南日本の太平洋岸、八丈島、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、礁池内,7cm,2m
クロメガネスズメダイ,Pomacentrus vaiuli,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深3～45m、傾斜面,7cm,5m
オリオンスズメダイ,Pomacentrus tripunctatus,鹿児島県坊津町、八重山諸島；インド・西太平洋,サンゴ礁域の3m以浅,3cm,1m
ナガサキスズメダイ,Pomacentrus nagasakiensis,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,岩礁域やサンゴ礁域,10cm,9m
ミナミイソスズメダイ,Pomacentrus sp.,琉球列島,サンゴ礁域,8cm,6m
スズメダイモドキ,Hemiglyphidodon plagiometopon,琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域の浅所、シカツノサンゴの多い礁池,15cm,5m
クロソラスズメダイ,Stegastes nigricans,琉球列島；インド・太平洋,サンゴ礁域の水深1～20m、礁池内,14cm,2m
フチドリスズメダイ,Stegastes fasciolatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域の5m以浅,10cm,2m
ヨロンスズメダイ,Stegastes insularis,南日本の太平洋岸、琉球列島、小笠原諸島、南鳥島；インド洋のクリスマス島,岩礁域やサンゴ礁域の10m以浅,10cm,5m
キオビスズメダイ,Stegastes albifasciatus,琉球列島；インド・太平洋,サンゴ礁域の2m以浅、波の荒い場所,8cm,1m
ハナナガスズメダイ,Stegastes punctatus,琉球列島；インド・太平洋,サンゴ礁域の浅所,14cm,3m
セダカスズメダイ,Stegastes altus,南日本の太平洋岸、琉球列島、台湾,サンゴ礁域、岩礁域の水深5～20m,12cm,3m
アイスズメダイ,Stegastes obreptus,琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域や岩礁域の水深1～6m,15cm,2m
コトヒキ,Terapon jarbua,南日本、琉球列島；インド・太平洋,沿岸浅所や河川の汽水域,20cm,1m
タカベ,Labracoglossa argentiventris,南日本の太平洋岸,沿岸岩礁域、中層,20cm,5m
ギンユゴイ,Kuhlia mugil,南日本の太平洋岸、琉球列島；インド・汎太平洋,沿岸岩礁域、波当たりの強い岩礁付近の水面下,22cm,2m
イシダイ,Oplegnathus fasciatus,日本全域、朝鮮半島、中国、台湾、ハワイ諸島,沿岸岩礁域,60cm,20m
イシガキダイ,Oplegnathus punctatus,南日本、琉球列島；中・西部太平洋の温・熱帯域,沿岸岩礁域,80cm,21m
ミナミイスズミ,Kyphosus pacificus,南日本の太平洋岸、琉球列島、小笠原諸島；中・西部太平洋の熱帯域,島嶼周辺の岩礁域,30cm,10m
ノトイスズミ,Kyphosus bigibbus,南日本、琉球列島、小笠原諸島、インド・太平洋,浅海の岩礁域,25cm,3m
イスズミ,Kyphosus vaigiensis,南日本、琉球列島；インド・太平洋,沿岸岩礁域,20cm,10m
テンジクイサキ,Kyphosus cinerascens,南日本、琉球列島、小笠原諸島；インド・太平洋,岩礁域の浅所,25cm,18m
カゴカキダイ,Microcanthus strigatus,南日本、琉球列島；中・西部太平洋の温・熱帯域,岩礁域の浅所、波打ち際,10cm,12m
クロメジナ,Girella leonina,南日本の太平洋岸、琉球列島；済州島、台湾、香港,沿岸岩礁域,20cm,3m
オキナメジナ,Girella mezina,南日本の太平洋岸、琉球列島；台湾,岩礁域やサンゴ礁域、主に礁外縁部,30cm,5m
メジナ,Girella punctata,南日本；朝鮮半島南岸、済州島、中国南部～台湾,沿岸岩礁域,25cm,9m
イボダイ,Psenopsis anomala,北海道～九州；朝鮮半島、中国、台湾,表層（幼魚はクラゲ類につく）、大陸棚の底部（成魚）,12cm,
ハナビラウオ,Psenes pellucidus,北海道～九州、琉球列島、東シナ海；全世界の温・熱帯域,クラゲ類の下（幼魚）、底層（成魚）,4cm,1m
スジハナビラウオ,Psenes cyanophrys,相模湾、島根県、琉球列島；全世界の温・熱帯域,流れ藻やクラゲ類につく（幼魚）、中層か底層（成魚）,7cm,水面下
エボシダイ,Nomeus gronovii,全世界の温・熱帯域,カツオノエボシの触手の間（幼魚）、水深200～1000mの底層（成魚）,4cm,水面下
コブダイ,Semicossyphus reticulatus,下北半島、南日本；朝鮮半島,沿岸の岩礁域,70cm,20m
ブダイベラ,Pseudodax moluccanus,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,20cm,20m
シチセンベラ,Choerodon fasciatus,琉球列島；西部太平洋の熱帯域,サンゴ礁域、サンゴ礁外縁の崖や洞窟など暗い場所,20cm,10m
イラ,Choerodon azurio,南日本；朝鮮半島南岸、中国、台湾,岩礁域、岩礁周りの砂地,35cm,15m
クラカケベラ,Choerodon jordani,和歌山県、高知県、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、20m以深の潮通しのよい岩礁底,13cm,18m
クサビベラ,Choerodon anchorago,琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、水深5～15mに生息、内湾の藻場に多い,20cm,6m
タヌキベラ,Bodianus izuensis,南日本の太平洋岸；西部太平洋の温・熱帯域,沿岸の岩礁域、30m以深,12cm,30m
シマキツネベラ,Bodianus masudai,南日本の太平洋岸、八丈島、奄美大島；台湾、ニューカレドニア、ノーフォーク島,沿岸岩礁域、水深40～50m,7cm,45m
フタホシキツネベラ,Bodianus bimaculatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,沿岸の岩礁域、水深30m程の切り立った崖,6cm,30m
ヒオドシベラ,Bodianus anthioides,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域の20m以深、砂地、ドロップオフに生育するヤギ類の周り,15cm,7m
キツネダイ,Bodianus oxycephalus,南日本、琉球列島；台湾、フィリピン,岩礁域、30m以深,30cm,35m
ヒレグロベラ,Bodianus loxozonus,南日本の太平洋岸、琉球列島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域、岩礁域、サンゴ礁と砂地が混じる水深10〜20m,22cm,10m
キツネベラ,Bodianus bilunulatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,岩礁域、サンゴ礁域,30cm,20m
スミツキベラ,Bodianus axillaris,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,12cm,10m
モンツキベラ,Bodianus dictynna,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域、水深10～20m,12cm,15m
ケサガケベラ,Bodianus mesothorax,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域、水深10m程,14cm,8m
タキベラ,Bodianus perditio,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,40cm,23m
ムシベラ,Anampses geographicus,南日本の太平洋岸、琉球列島；インド・西太平洋,岩礁域、サンゴ礁域,20cm,15m
ホクトベラ,Anampses meleagrides,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,20cm,12m
ニューギニアベラ,Anampses neoguinaicus,南日本の太平洋岸、琉球列島；西部太平洋の熱帯域,岩礁域、サンゴ礁域、礁縁や礁斜面,15cm,15m
ブチススキベラ,Anampses caeruleopunctatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋、大西洋南東部,岩礁域、サンゴ礁域,20cm,3m
ホシススキベラ,Anampses twistii,伊豆諸島、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,7cm,15m
クロフチススキベラ,Anampses melanurus,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域、サンゴ礁域、水深20～30mの潮通しのよい所,13cm,20m
カマスベラ,Cheilio inermis,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域の藻場、水深1～5m,15cm,5m
クギベラ,Gomphosus varius,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,岩礁域、サンゴ礁域,17cm,10m
タレクチベラ,Hemigymnus melapterus,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,10cm,8m
シマタレクチベラ,Hemigymnus fasciatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,2.5cm,2m
ホンソメワケベラ,Labroides dimidiatus,南日本の太平洋沿岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,7cm,15m
スミツキソメワケベラ,Labroides pectoralis,小笠原諸島、慶良間諸島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域,6cm,10m
ソメワケベラ,Labroides bicolor,"南日本の太平洋岸, 琉球列島, 小笠原諸島; インド・太平洋岩礁域, サンゴ礁域に生息",岩礁域、サンゴ礁域、サンゴや岩の棚下など暗い所,12cm,10m
クロベラ,Labrichthys unilineatus,"和歌山県以南～琉球列島; インド・太平洋岩礁域, サンゴ礁域に生息",岩礁域、サンゴ礁域、浅所のサンゴの枝間,13cm,8m
ミヤケベラ,Labropsis xanthonota,伊豆諸島、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,8cm,7m
マナベベラ,Labropsis manabei,八丈島、和歌山県、琉球列島、小笠原諸島；東部インド洋〜西部太平洋の熱帯域,岩礁域、サンゴ礁域,12cm,8m
オハグロベラ,Pteragogus aurigarius,青森県～九州；朝鮮半島、中国、台湾,藻場、岩礁域,14cm,7m
ホシササノハベラ,Pseudolabrus sieboldi,南日本；済州島、台湾,岩礁域,20cm,15m
アカササノハベラ,Pseudolabrus eoethinus,南日本の太平洋岸、沖縄島、中国南部、台湾,岩礁域,22cm,20m
イトベラ,Suezichthys gracilis,南日本、小笠原諸島、朝鮮半島～ベトナム、台湾、ペルシャ湾,岩礁域、サンゴ礁域、岩やサンゴ周辺の砂礫底,20cm,7m
スミツキカミナリベラ,Stethojulis maculata,南日本の太平洋岸、琉球列島、小笠原諸島岩礁域、サンゴ礁域に生息,岩礁域、サンゴ礁域,13cm,15m
オニベラ,Stethojulis trilineata,八丈島、和歌山県以南、琉球列島、小笠原諸島；インド・太平洋岩礁域、サンゴ礁域に生息,岩礁域、サンゴ礁域,12cm,18m
ハラスジベラ,Stethojulis strigiventer,南日本の太平洋岸、琉球列島；ハワイ諸島を除くインド・太平洋岩礁域、サンゴ礁域に生息,岩礁域、サンゴ礁域,12cm,5m
アカオビベラ,Stethojulis bandanensis,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋からハワイ諸島を除く中・西部太平洋、東部太平洋の熱帯域,岩礁域サンゴ礁域,10cm,10m
カミナリベラ,Stethojulis interrupta terina,南日本の太平洋岸、小笠原諸島；台湾、中国南部,岩礁域、サンゴ礁域、浅い岩礁と砂地の境界付近,10cm,5m
ウスバノドグロベラ,Macropharyngodon moyeri,南日本の太平洋岸、八丈島、三宅島、琉球列島；台湾,岩礁域やサンゴ礁域、海藻群落の中,14cm,15m
セジロノドグロベラ,Macropharyngodon negrosensis,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,岩礁域やサンゴ礁域、ガレ場,6cm,7m
ノドグロベラ,Macropharyngodon meleagris,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域やサンゴ礁域、ガレ場,10cm,9m
スミツキオグロベラ,Pseudojuloides mesostigma,南日本の太平洋岸、琉球列島；西部太平洋の熱帯域,サンゴ礁域、深40m程の潮通しのよいガレ場,10cm,40m
アオスジオグロベラ,Pseudojuloides severnsi,南日本の太平洋岸、琉球列島；フィリピン、インドネシア、スリランカ,岩礁やサンゴ礁域、礁外縁の潮通しのよいガレ場,8cm,23m
オグロベラ,Pseudojuloides splendens,南日本の太平洋岸、琉球列島、小笠原諸島；インド・汎太平洋,岩礁域、サンゴ礁域、20m以深の潮通しのよい所,10cm,25m
オトヒメベラ,Pseudojuloides elongatus,南日本の太平洋岸、三宅島；オーストラリア南東岸、ニュージーランド,岩礁域、岩場に繁る海藻の間,14cm,23m
ヤンセンニシキベラ,Thalassoma jansenii,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、サンゴ礁の棚の上,15cm,10m
セナスジベラ,Thalassoma hardwicke,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、波静かな礁池内,12cm,7m
コガシラベラ,Thalassoma amblycephalum,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、礁外縁,12cm,7m
ニシキベラ,Thalassoma cupido,南日本、小笠原諸島；朝鮮半島、中国、台湾,岩礁域、サンゴ礁域、温帯域,13cm,4m
ハコベラ,Thalassoma quinquevittatum,八丈島、和歌山県以南、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,13cm,7m
キヌベラ,Thalassoma purpureum,山陰地方、南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋、大西洋南東部,岩礁域、サンゴ礁域、波が当たり砕けるような所から水深5mまで,20cm,25m
リュウグウベラ,Thalassoma trilobatum,八丈島、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,20cm,3m
ヤマブキベラ,Thalassoma lutescens,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,15cm,18m
オトメベラ,Thalassoma lunare,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,13cm,10m
キュウセン,Parajulis poecileptera,佐渡島、函館以南〜九州；朝鮮半島、中国、台湾,沿岸浅所の砂底や砂礫底、岩礁の周りや転石の多い砂底,20cm,7m
トカラベラ,Halichoeres hortulanus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、砂底やガレ場,18cm,10m
ミツボシキュウセン,Halichoeres trimaculatus,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,岩礁域やサンゴ礁域、礁池のサンゴ周辺の砂底,15cm,7m
セイテンベラ,Halichoeres scapularis,八丈島、和歌山県以南～琉球列島；インド・西太平洋,岩礁域、サンゴ礁域、礁池内のサンゴ礁周辺の砂底,20cm,12m
ホンベラ,Halichoeres bleekeri,佐渡島、下北半島以南～九州；朝鮮半島岩礁域,岩礁域、海藻の茂った岩礁,15cm,5m
ホクロキュウセン,Halichoeres melasmapomus,琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、崖の途中や崖下の30m以深,10cm,30m
キスジキュウセン,Halichoeres hartzfeldii,南日本の太平洋岸、琉球列島、小笠原諸島；西部太平洋の熱帯域,岩礁域、サンゴ礁域の砂底域,17cm,18m
クマドリキュウセン,Halichoeres argus,琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、礁池内や水深5m前後のサンゴと砂地が混じる環境,10cm,2m
ホホワキュウセン,Halichoeres miniatus,琉球列島；西部太平洋の熱帯域,サンゴ礁域、水深3m以浅、砂泥底や河口付近,10cm,3m
アカニジベラ,Halichoeres margaritaceus,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域やサンゴ礁域の浅所、岩礁やサンゴの周辺,9cm,9m
イナズマベラ,Halichoeres nebulosus,南日本の太平洋岸、琉球列島；インド・西太平洋,岩礁域やサンゴ礁域の浅所,9cm,3m
ムナテンベラ,Halichoeres melanochir,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,12cm,8m
ムナテンベラダマシ,Halichoeres prosopeion,琉球列島；中・西部太平洋の熱帯域,サンゴ礁域、浅所,13cm,10m
カノコベラ,Halichoeres marginatus,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域やサンゴ礁域、礁池,12cm,8m
コガネキュウセン,Halichoeres chrysus,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、砂底やガレ場,10cm,23m
アミトリキュウセン,Halichoeres leucurus,西表島；西部太平洋の熱帯域,サンゴ礁域、内湾の浅い砂泥底、サンゴの周り,12cm,3m
ゴシキキュウセン,Halichoeres richmondi,西表島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域、礁縁や水路など多少潮の流れのある所,12cm,10m
カザリキュウセン,Halichoeres melanurus,和歌山県以南～琉球列島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域、岩礁域、礁池や内湾の枝状のサンゴの周り,6cm,8m
ツキベラ,Halichoeres orientalis,八丈島以南、琉球列島、小笠原諸島；台湾,岩礁域、サンゴ礁域に生息し、礁斜面や水路など潮通しのよい所,12cm,20m
ニシキキュウセン,Halichoeres biocellatus,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域、サンゴ礁域に生息。礁縁や水路など潮通しのよい所,11cm,15m
カンムリベラ,Coris aygula,南日本の太平洋岸、琉球列島、小笠原諸島；ハワイ諸島を除くインド・太平洋岩礁域,サンゴ礁域、岩礁やその周辺のガレ場,60cm,20m
ツユベラ,Coris gaimard,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域のガレ場、水深10m程の礁斜面や水路など潮通しのよい所,25cm,7m
スジベラ,Coris dorsomacula,南日本の太平洋岸、琉球列島、小笠原諸島；西部太平洋の熱帯域,サンゴ礁域のガレ場、岩礁やサンゴ礁の周りの砂底,15cm,20m
ムスメベラ,Coris musume,南日本の太平洋岸、琉球列島、小笠原諸島；台湾,岩礁やサンゴ礁域、岩礁周りの砂底,18cm,30m
シチセンムスメベラ,Coris batuensis,高知県以南〜琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、池やや水路の浅所,18cm,10m
ヤマシロベラ,Pseudocoris yamashiroi,南日本の太平洋沿岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、潮通しのよい水深10〜30m程の岩礁やサンゴの周りの砂底,12cm,25m
シラタキベラ,Pseudocoris bleekeri,南日本の太平洋岸、琉球列島；インドネシア、フィリピン,岩礁域、サンゴ礁域、礁外縁の潮通しの良い所,13cm,7m
シラタキベラダマシ,Pseudocoris aurantiofasciata,南日本の太平洋岸、琉球列島、小笠原諸島；中・西部太平洋の熱帯域,岩礁域、サンゴ礁域、水深30m程の潮通しのよいドロップオフ,18cm,25m
アヤタスキベラ,Hologymnnosus rhodonotus,南日本の太平洋岸、八丈島、琉球列島；フィリピン、インドネシア、オーストラリア北西岸,サンゴ礁域の深場,3.5cm,45m
ナメラベラ,Hologymnosus annulatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域のガレ場,30cm,5m
シロタスキベラ,Hologymnosus doliatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域のガレ場,30cm,20m
クロヘリイトヒキベラ,Cirrhilabrus cyanopleura,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,9cm,23m
ヤリイトヒキベラ,Cirrhilabrus lanceolatus,南日本の太平洋岸、琉球列島；パラオ、フィリピン,岩礁域やサンゴ礁域、砂地,10cm,43m
ベニヒレイトヒキベラ,Cirrhilabrus rubrimarginatus,南日本の太平洋岸、琉球列島；インド・西太平洋,岩礁域、サンゴ礁域,10cm,27m
ツキノワイトヒキベラ,Cirrhilabrus lunatus,南日本の太平洋岸、琉球列島、小笠原諸島；台湾、フィリピン、インドネシア,岩礁域、サンゴ礁域,7cm,30m
ニシキイトヒキベラ,Cirrhilabrus exquisitus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,7cm,12m
ハリオイトヒキベラ,Cirrhilabrus isosceles,南日本の太平洋岸、琉球列島,サンゴ礁域や岩礁域、潮通しのよい斜面の25m以深,7cm,28m
イトヒキベラ,Cirrhilabrus temminckii,南日本；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,6cm,10m
クレナイイトヒキベラ,Cirrhilabrus katoi,南日本の太平洋岸,岩礁域,8cm,25m
トモシビイトヒキベラ,Cirrhilabrus melanomarginatus,南日本の太平洋岸、琉球列島、台湾、中沙諸島、フィリピン,岩礁域、サンゴ礁域、潮通しのよい所,12cm,20m
ゴシキイトヒキベラ,Cirrhilabrus katherinae,伊豆・小笠原諸島、琉球列島；ミクロネシア,岩礁域、サンゴ礁域,10cm,8m
タテヤマベラ,Cymolutes torquatus,南日本の太平洋岸、琉球列島；インド・西太平洋,サンゴ礁域の砂底や藻場,10cm,23m
ハシナガベラ,Wetmorella nigropinnata,八丈島、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,6cm,20m
クジャクベラ,Paracheilinus carpenteri,南日本の太平洋岸、琉球列島；西部太平洋の熱帯域,サンゴ礁域、潮通しのよい斜面,7cm,30m
ヨコシマニセモチノウオ,Pseudocheilinus ocellatus,八丈島、琉球列島、小笠原諸島；ハワイ諸島を除く中・西部太平洋の熱帯域,岩礁域やサンゴ礁域、潮通しのよい所,6cm,30m
ニセモチノウオ,Pseudocheilinus hexataenia,八丈島、和歌山県以南、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域、礁斜面のサンゴの周り,5cm,25m
ヨスジニセモチノウオ,Pseudocheilinus tetrataenia,奄美大島、沖縄県久米島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域、礁斜面の潮通しのよい所,5cm,30m
ヒメニセモチノウオ,Pseudocheilinus evanidus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域、礁池内などの波静かな所,7cm,14m
ヤスジニセモチノウオ,Pseudocheilinus octotaenia,八丈島、和歌山県以南〜琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、礁斜面などの枝状のサンゴの周り,10cm,8m
ギチベラ,Epibulus insidiator,和歌山県、琉球列島；インド・太平洋,岩礁域やサンゴ礁域、サンゴ礁の浅所,4cm,5m
メガネモチノウオ,Cheilinus undulatus,和歌山県、琉球列島、インド・太平洋,岩礁域、サンゴ礁域,1m,12m
ヤシャベラ,Cheilinus fasciatus,琉球列島、インド・太平洋,サンゴ礁域、潮通しのよい浅所,20cm,12m
ミツバモチノウオ,Cheilinus trilobatus,琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、水深15m程の潮通しのよい所,30cm,12m
アカテンモチノウオ,Cheilinus chlorourus,駿河湾、南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,22cm,15m
ミツボシモチノウオ,Cheilinus oxycephalus,琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域,12cm,7m
ヒトスジモチノウオ,Oxycheilinus unifasciatus,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域、サンゴ礁域,15cm,8m
ハナナガモチノウオ,Oxycheilinus celebicus,和歌山県以南、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域,15cm,8m
タコベラ,Oxycheilinus bimaculatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域、藻場やガレ場,10cm,15m
ホホスジモチノウオ,Oxycheilinus digramma,和歌山県以南、琉球列島；インド・太平洋,サンゴ礁域,20cm,10m
ホシテンス,Iniistius pavo,南日本、琉球列島、小笠原諸島；インド・汎太平洋,サンゴ礁域や岩礁域、潮通しのよい砂底,40cm,20m
テンス,Iniistius dea,南日本；東部インド洋～西部太平洋の熱帯域,沿岸浅所の砂底や砂泥底,2.5cm,12m
ヒラベラ,Iniistius pentadactylus,南日本の太平洋岸、琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の砂底や砂泥底,25cm,5m
ハゲヒラベラ,Iniistius aneitensis,高知県以南、琉球列島、インド・太平洋,サンゴ礁域の開けた砂底,35cm,20m
