和名,学名,分布,生息場所,深さ,体長,短い説明,長い説明,生息場所,短い説明,長い説明
ハクテンミノウミウシ,Samla riwo,インド-西太平洋,サンゴ礁域、岩礁の岩穴,12~25mm,,白い体に黒い斑点が散らばり、ミノのようにふんわりとした外見が特徴。岩陰に隠れるようにして見られることが多い。,ハクテンミノウミウシは、白い体に黒い斑点が不規則に散らばった美しいウミウシで、ミノのような柔らかい外見が特徴です。体長は12〜25mm程度と小型で、岩礁の岩穴やサンゴ礁の隙間に隠れるように生息しています。ダイビングでは、岩陰を注意深く観察すると見つけやすく、ゆっくりと移動する姿が見られます。撮影の際は、その繊細な体を傷つけないように注意しながら、横や斜めから光を当てると、半透明の体と斑点のコントラストが美しく写ります。面白いことに、この種は餌となるヒドロ虫類に依存しており、その生態から『ミノ』の名が付けられています。,サンゴ礁域、岩礁の岩穴,白い体に黒い斑点が散らばり、ミノのようにふんわりとした外見が特徴。岩陰に隠れるようにして見られることが多い。,ハクテンミノウミウシは、白い体に黒い斑点が不規則に散らばった美しいウミウシで、ミノのような柔らかい外見が特徴です。体長は12〜25mm程度と小型で、岩礁の岩穴やサンゴ礁の隙間に隠れるように生息しています。ダイビングでは、岩陰を注意深く観察すると見つけやすく、ゆっくりと移動する姿が見られます。撮影の際は、その繊細な体を傷つけないように注意しながら、横や斜めから光を当てると、半透明の体と斑点のコントラストが美しく写ります。面白いことに、この種は餌となるヒドロ虫類に依存しており、その生態から『ミノ』の名が付けられています。
ルージュミノウミウシ,Samla rubropurpurata,インド-太平洋,サンゴ礁域、岩礁の岩穴,10~20mm,,鮮やかな赤紫色の体色が特徴的な小型ウミウシ。岩陰やサンゴの隙間でじっとしていることが多い。,ルージュミノウミウシはその名の通り、鮮やかな赤紫色の体色が印象的な小型ウミウシです。体長は10~20mm程度と非常に小さく、岩陰やサンゴの隙間に隠れるように生息しているため、注意深く探さないと見逃してしまいます。観察の際は、赤紫色の小さな点が目印になります。動きはゆっくりで、餌を探して這っている姿も観察できます。撮影時はマクロレンズが必須で、できるだけ近づいてその美しい色を捉えましょう。この種はインド-太平洋に広く分布していますが、個体数は多くないため、出会えたらラッキーです。,サンゴ礁域、岩礁の岩穴,鮮やかな赤紫色の体色が特徴的な小型ウミウシ。岩陰やサンゴの隙間でじっとしていることが多い。,ルージュミノウミウシはその名の通り、鮮やかな赤紫色の体色が印象的な小型ウミウシです。体長は10~20mm程度と非常に小さく、岩陰やサンゴの隙間に隠れるように生息しているため、注意深く探さないと見逃してしまいます。観察の際は、赤紫色の小さな点が目印になります。動きはゆっくりで、餌を探して這っている姿も観察できます。撮影時はマクロレンズが必須で、できるだけ近づいてその美しい色を捉えましょう。この種はインド-太平洋に広く分布していますが、個体数は多くないため、出会えたらラッキーです。
コザクラミノウミウシ,Occidenthella athadona,北太平洋,サンゴ礁域、岩礁の岩穴,10~16mm,,鮮やかなピンク色の体に白い斑点があり、岩陰でじっとしていることが多い。ウデのような突起が特徴で、愛らしい見た目が印象的。,コザクラミノウミウシは鮮やかなピンク色の体に白い斑点が散りばめられ、ウデのような突起が多数あるのが特徴です。体長は10~16mmと小さく、岩礁の岩陰やサンゴ礁の隙間に隠れていることが多いです。動きはゆっくりで、観察しやすい種類ですが、体色が周囲の環境に溶け込むため見つけるには注意深い観察が必要です。撮影の際はマクロレンズを使い、色のコントラストを活かした構図がおすすめです。面白いことに、このウミウシは餌となるヒドロ虫類を食べることで毒を体内に蓄積し、自身の防御に利用しています。,サンゴ礁域、岩礁の岩穴,鮮やかなピンク色の体に白い斑点があり、岩陰でじっとしていることが多い。ウデのような突起が特徴で、愛らしい見た目が印象的。,コザクラミノウミウシは鮮やかなピンク色の体に白い斑点が散りばめられ、ウデのような突起が多数あるのが特徴です。体長は10~16mmと小さく、岩礁の岩陰やサンゴ礁の隙間に隠れていることが多いです。動きはゆっくりで、観察しやすい種類ですが、体色が周囲の環境に溶け込むため見つけるには注意深い観察が必要です。撮影の際はマクロレンズを使い、色のコントラストを活かした構図がおすすめです。面白いことに、このウミウシは餌となるヒドロ虫類を食べることで毒を体内に蓄積し、自身の防御に利用しています。
ピリカミノウミウシ,Microchlamylla amabilis,北太平洋,藻場域、転石帯,12~26mm,,小さく可愛らしいウミウシで、体色は半透明の白色に黄色やピンクの斑点が散らばる。藻類の上をゆっくり移動する姿が観察できる。,Microchlamylla amabilisは、半透明の白色を基調とし、体表に黄色やピンクの小さな斑点が散りばめられた、非常に愛らしいウミウシです。体長は小さく、12〜26mm程度で、藻場や転石帯の海藻やコケムシの上をゆっくりと這う姿が見られます。特に春から夏にかけて観察されることが多く、鮮やかな色合いから水中写真家に人気があります。観察のコツは、潮通しの良い藻場を注意深く探すこと。体が小さいため、マクロレンズでの撮影がおすすめです。面白いことに、この種は鰓が体の後方に房状に広がっており、動きに合わせてゆらゆらと揺れる様子が特徴的です。,藻場域、転石帯,小さく可愛らしいウミウシで、体色は半透明の白色に黄色やピンクの斑点が散らばる。藻類の上をゆっくり移動する姿が観察できる。,Microchlamylla amabilisは、半透明の白色を基調とし、体表に黄色やピンクの小さな斑点が散りばめられた、非常に愛らしいウミウシです。体長は小さく、12〜26mm程度で、藻場や転石帯の海藻やコケムシの上をゆっくりと這う姿が見られます。特に春から夏にかけて観察されることが多く、鮮やかな色合いから水中写真家に人気があります。観察のコツは、潮通しの良い藻場を注意深く探すこと。体が小さいため、マクロレンズでの撮影がおすすめです。面白いことに、この種は鰓が体の後方に房状に広がっており、動きに合わせてゆらゆらと揺れる様子が特徴的です。
アパタミノウミウシ,Apata pricei komandorica,北太平洋,砂泥底,10~15mm,,明るい黄色の体に黒い斑点が特徴の小型ウミウシ。砂地をゆっくり這う姿が観察できる。,アパタミノウミウシは明るい黄色の体に黒い斑点が散在する美しい小型種で、体長は約10~15mmと非常に小さいため注意深く探す必要があります。砂泥底をゆっくり這うように移動し、餌を探す様子が観察できます。見つけるためには、砂地の微地形や小さなデトリタス（有機物の堆積物）周辺を重点的に探しましょう。撮影時にはマクロレンズが必須で、ゆっくり近づけば驚かせることなく接写が可能です。この種は北太平洋の固有亜種で、学名の'komandorica'は発見地域のコマンドルスキー諸島に由来しています。,砂泥底,明るい黄色の体に黒い斑点が特徴の小型ウミウシ。砂地をゆっくり這う姿が観察できる。,アパタミノウミウシは明るい黄色の体に黒い斑点が散在する美しい小型種で、体長は約10~15mmと非常に小さいため注意深く探す必要があります。砂泥底をゆっくり這うように移動し、餌を探す様子が観察できます。見つけるためには、砂地の微地形や小さなデトリタス（有機物の堆積物）周辺を重点的に探しましょう。撮影時にはマクロレンズが必須で、ゆっくり近づけば驚かせることなく接写が可能です。この種は北太平洋の固有亜種で、学名の'komandorica'は発見地域のコマンドルスキー諸島に由来しています。
ニチロミノウミウシ,Unidentia nihonrossija,西太平洋、北太平洋,サンゴ礁域、岩礁の岩穴,18~25mm,,鮮やかな赤色に白色の細かい斑点が散りばめられた美しいウミウシ。岩陰やサンゴの隙間に潜んでいることが多く、じっくり探す価値あり。,ニチロミノウミウシは鮮やかな赤色の体に無数の白色斑点が特徴的で、水中で非常に目立つ存在です。体長は18~25mmと小型で、岩礁の割れ目やサンゴの隙間、海藻の陰などに隠れていることが多いため、注意深く観察が必要です。動きは比較的遅く、近づいても逃げない個体が多いため、マクロレンズでの撮影に最適です。面白い特徴として、刺激を受けると体を縮める習性があり、その際に斑点模様がより密集して見える変化を楽しめます。西太平洋～北太平洋の温暖な海域で見られ、特に透明度の高いダイビングサイトで観察されることが多いです。,サンゴ礁域、岩礁の岩穴,鮮やかな赤色に白色の細かい斑点が散りばめられた美しいウミウシ。岩陰やサンゴの隙間に潜んでいることが多く、じっくり探す価値あり。,ニチロミノウミウシは鮮やかな赤色の体に無数の白色斑点が特徴的で、水中で非常に目立つ存在です。体長は18~25mmと小型で、岩礁の割れ目やサンゴの隙間、海藻の陰などに隠れていることが多いため、注意深く観察が必要です。動きは比較的遅く、近づいても逃げない個体が多いため、マクロレンズでの撮影に最適です。面白い特徴として、刺激を受けると体を縮める習性があり、その際に斑点模様がより密集して見える変化を楽しめます。西太平洋～北太平洋の温暖な海域で見られ、特に透明度の高いダイビングサイトで観察されることが多いです。
シテンサンドラウミウシ,Unidentia sp.,南西諸島,サンゴ礁域、岩礁の岩穴,10~11mm,,透明感のある白い体に黒い斑点が散らばり、岩陰に潜むことが多い。小さくても目立つ模様で、慎重に探すと発見できる。,透明感のある白い体に不規則な黒い斑点が特徴で、体長10~11mmと非常に小さいが、目立つ模様で見つけやすいウミウシです。南西諸島のサンゴ礁域や岩礁の岩穴に生息し、岩陰に潜んでいることが多いです。観察の際は、岩の隙間やサンゴの根元をゆっくりと探すと発見できます。撮影時はマクロレンズが必須で、ストロボの光を反射して輝く様子が美しいです。面白いことに、このウミウシは未記載種（Unidentia sp.）で、まだ学名が正式に決まっていない珍しい種類です。,サンゴ礁域、岩礁の岩穴,透明感のある白い体に黒い斑点が散らばり、岩陰に潜むことが多い。小さくても目立つ模様で、慎重に探すと発見できる。,透明感のある白い体に不規則な黒い斑点が特徴で、体長10~11mmと非常に小さいが、目立つ模様で見つけやすいウミウシです。南西諸島のサンゴ礁域や岩礁の岩穴に生息し、岩陰に潜んでいることが多いです。観察の際は、岩の隙間やサンゴの根元をゆっくりと探すと発見できます。撮影時はマクロレンズが必須で、ストロボの光を反射して輝く様子が美しいです。面白いことに、このウミウシは未記載種（Unidentia sp.）で、まだ学名が正式に決まっていない珍しい種類です。
ホリミノウミウシ,Eubranchus horii,日本,岩礁の岩穴、転石帯,10~10mm,,透明感のある体にピンクや黄色の斑点があり、細長い触角が特徴。岩場でじっとしていることが多く、小さな体で愛らしい。,ホリミノウミウシは透明感のある体にピンクや黄色の斑点が散りばめられ、細長い触角が特徴的です。体長は小さいため見つけにくいですが、岩礁の岩穴や転石帯を注意深く探すと発見できます。動きはゆっくりで、岩の上を這う姿が観察できます。撮影時はマクロレンズがおすすめで、色合いを活かすため自然光を意識しましょう。面白い生態として、ヒドロ虫類を餌にすることから、ヒドロ虫が生息する場所で見つけやすいです。,岩礁の岩穴、転石帯,透明感のある体にピンクや黄色の斑点があり、細長い触角が特徴。岩場でじっとしていることが多く、小さな体で愛らしい。,ホリミノウミウシは透明感のある体にピンクや黄色の斑点が散りばめられ、細長い触角が特徴的です。体長は小さいため見つけにくいですが、岩礁の岩穴や転石帯を注意深く探すと発見できます。動きはゆっくりで、岩の上を這う姿が観察できます。撮影時はマクロレンズがおすすめで、色合いを活かすため自然光を意識しましょう。面白い生態として、ヒドロ虫類を餌にすることから、ヒドロ虫が生息する場所で見つけやすいです。
イナバミノウミウシ,Eubranchus inabai,西太平洋,サンゴ礁域、藻場域,3~12mm,,透明な体に赤やピンクの突起が特徴的な小型ウミウシ。サンゴや海藻の上をゆっくり移動し、光に反射して輝く姿が美しい。,イナバミノウミウシは透明感のある体に赤やピンク色の細かい突起が密集した、非常に繊細な外見が特徴です。体長は小さく、サンゴの枝や海藻の上をゆっくりと移動している姿が観察できます。水中ライトに照らされると、体の突起が光を反射してキラキラと輝き、まるで宝石のようです。見つけるコツは、サンゴや海藻の葉を丁寧に観察し、小さな動きに注目すること。撮影時はマクロレンズを使用し、ストロボの光を拡散させて反射を抑えると、繊細な質感を活かした写真が撮れます。この種は刺胞動物を食べることが知られており、餌となるヒドロ虫類の近くで見つかることも多いです。,サンゴ礁域、藻場域,透明な体に赤やピンクの突起が特徴的な小型ウミウシ。サンゴや海藻の上をゆっくり移動し、光に反射して輝く姿が美しい。,イナバミノウミウシは透明感のある体に赤やピンク色の細かい突起が密集した、非常に繊細な外見が特徴です。体長は小さく、サンゴの枝や海藻の上をゆっくりと移動している姿が観察できます。水中ライトに照らされると、体の突起が光を反射してキラキラと輝き、まるで宝石のようです。見つけるコツは、サンゴや海藻の葉を丁寧に観察し、小さな動きに注目すること。撮影時はマクロレンズを使用し、ストロボの光を拡散させて反射を抑えると、繊細な質感を活かした写真が撮れます。この種は刺胞動物を食べることが知られており、餌となるヒドロ虫類の近くで見つかることも多いです。
アカボシミノウミウシ,Eubranchus echizenicus,日本,岩礁域、海藻の生えた場所,8~7mm,,赤い斑点が特徴的な小型ウミウシ。海藻の上をゆっくり移動し、鮮やかな体色で目を引きます。,アカボシミノウミウシは、赤やオレンジ色の斑点が全身に入った美しい小型ウミウシです。体長は最大でも7mm程度と非常に小さいため、観察には注意が必要です。海藻や岩の表面をゆっくりと這うように移動し、鮮やかな体色が目立ちます。見つけるには、海藻が密集している場所を重点的に探すと良いでしょう。撮影時はマクロレンズが必須で、ゆっくりと近づき、ストロボの光を拡散させると色をきれいに写せます。興味深いことに、このウミウシはヒドロ虫類を餌としているため、ヒドロ虫が付着している場所でよく見られます。,岩礁域、海藻の生えた場所,赤い斑点が特徴的な小型ウミウシ。海藻の上をゆっくり移動し、鮮やかな体色で目を引きます。,アカボシミノウミウシは、赤やオレンジ色の斑点が全身に入った美しい小型ウミウシです。体長は最大でも7mm程度と非常に小さいため、観察には注意が必要です。海藻や岩の表面をゆっくりと這うように移動し、鮮やかな体色が目立ちます。見つけるには、海藻が密集している場所を重点的に探すと良いでしょう。撮影時はマクロレンズが必須で、ゆっくりと近づき、ストロボの光を拡散させると色をきれいに写せます。興味深いことに、このウミウシはヒドロ虫類を餌としているため、ヒドロ虫が付着している場所でよく見られます。
ジョオウミノウミウシ,Eubranchus virginalis,西太平洋,サンゴ礁域、岩礁の岩穴,10~12mm,,透明感のある体に白や黄色の斑点があり、ウミキノコに擬態してじっとしていることが多い。小さくて可愛らしいウミウシ。,ジョオウミノウミウシは透明感のある体に白や黄色の小さな斑点が散りばめられ、ウミキノコなどの刺胞動物に擬態していることが特徴です。体長は10～12mmと非常に小さく、ウミキノコの上や岩穴にじっとしていることが多いため、注意深く観察しないと見逃してしまいます。ダイビング中はウミキノコが生息している場所を重点的に探すと見つけやすく、マクロレンズを使った接写がおすすめです。面白いことに、この種はウミキノコの刺胞を盗んで自身の防御に利用するという興味深い生態を持っています。,サンゴ礁域、岩礁の岩穴,透明感のある体に白や黄色の斑点があり、ウミキノコに擬態してじっとしていることが多い。小さくて可愛らしいウミウシ。,ジョオウミノウミウシは透明感のある体に白や黄色の小さな斑点が散りばめられ、ウミキノコなどの刺胞動物に擬態していることが特徴です。体長は10～12mmと非常に小さく、ウミキノコの上や岩穴にじっとしていることが多いため、注意深く観察しないと見逃してしまいます。ダイビング中はウミキノコが生息している場所を重点的に探すと見つけやすく、マクロレンズを使った接写がおすすめです。面白いことに、この種はウミキノコの刺胞を盗んで自身の防御に利用するという興味深い生態を持っています。
ツマグロミノウミウシ,Eubranchus mimeticus,日本,藻場域、転石帯,8~10mm,,小さな体にツマグロ模様が特徴で、藻類の上をゆっくり移動。繊細な姿が水中で目を引く。,体長8～10mmほどの小さなウミウシで、半透明の体に黒いツマグロ模様がアクセント。主に藻場や転石帯で見られ、藻類の上をゆっくり這う姿が観察できます。繊細なミノのような外観から「ミノウミウシ」の名が付いています。撮影時はマクロレンズが必須で、水流に流されやすいため注意が必要。面白いことに、学名の「mimeticus(擬態の)」は、その姿が藻類の一部のように見えることに由来しています。春から夏にかけての観察記録が多いようです。,藻場域、転石帯,小さな体にツマグロ模様が特徴で、藻類の上をゆっくり移動。繊細な姿が水中で目を引く。,体長8～10mmほどの小さなウミウシで、半透明の体に黒いツマグロ模様がアクセント。主に藻場や転石帯で見られ、藻類の上をゆっくり這う姿が観察できます。繊細なミノのような外観から「ミノウミウシ」の名が付いています。撮影時はマクロレンズが必須で、水流に流されやすいため注意が必要。面白いことに、学名の「mimeticus(擬態の)」は、その姿が藻類の一部のように見えることに由来しています。春から夏にかけての観察記録が多いようです。
ツノトゲホリミノウミウシ,Eubranchus mandapamensis,インド-西太平洋,サンゴ礁域、岩礁の岩穴、転石帯,12~20mm,,半透明の体にオレンジや黄色の突起が特徴の小型ウミウシ。サンゴポリプを食べるため、サンゴ周辺でよく観察される。,半透明のゼラチン質な体にオレンジや黄色の突起が多数ある、1cmほどの愛らしいウミウシです。特徴的なツノ状の突起は背中に並び、先端が鮮やかに色づいています。主にサンゴポリプ（特にミドリイシ類）を食べるため、サンゴの周辺を探すと見つけやすく、日中でも活発に移動しています。撮影時はマクロレンズが必須で、体の透明感と色のコントラストを活かすため斜めからの光がおすすめです。豆知識として、この種は餌となるサンゴの色によって自身の体色が変化することが知られています。,サンゴ礁域、岩礁の岩穴、転石帯,半透明の体にオレンジや黄色の突起が特徴の小型ウミウシ。サンゴポリプを食べるため、サンゴ周辺でよく観察される。,半透明のゼラチン質な体にオレンジや黄色の突起が多数ある、1cmほどの愛らしいウミウシです。特徴的なツノ状の突起は背中に並び、先端が鮮やかに色づいています。主にサンゴポリプ（特にミドリイシ類）を食べるため、サンゴの周辺を探すと見つけやすく、日中でも活発に移動しています。撮影時はマクロレンズが必須で、体の透明感と色のコントラストを活かすため斜めからの光がおすすめです。豆知識として、この種は餌となるサンゴの色によって自身の体色が変化することが知られています。
スベスベジョオウミノウミウシ,Eubranchus sp.1,西太平洋,サンゴ礁域、岩礁の岩穴,10~10mm,,透明感のある白色の体に橙色の斑点が散らばり、ウミウシの中では小型で繊細な印象。触角が特徴的で、ゆっくり移動する姿が観察できる。,透明感のある白色の体に鮮やかな橙色の斑点が散らばる小型のウミウシで、体長は1cm程度と非常に小さい。特徴的な触角があり、ゆっくりと岩の表面を這う姿が観察できます。主にサンゴ礁域や岩礁の岩穴などで見られ、日中でも活動していることが多いです。見つけるコツは、小さな岩の表面やサンゴの枝間を丁寧に観察すること。撮影時はマクロレンズが必須で、ゆっくり近づかないとすぐに隠れてしまいます。興味深いことに、このウミウシはヒドロ虫類を餌にすることが知られており、餌となる生物の近くで見つかることもあります。,サンゴ礁域、岩礁の岩穴,透明感のある白色の体に橙色の斑点が散らばり、ウミウシの中では小型で繊細な印象。触角が特徴的で、ゆっくり移動する姿が観察できる。,透明感のある白色の体に鮮やかな橙色の斑点が散らばる小型のウミウシで、体長は1cm程度と非常に小さい。特徴的な触角があり、ゆっくりと岩の表面を這う姿が観察できます。主にサンゴ礁域や岩礁の岩穴などで見られ、日中でも活動していることが多いです。見つけるコツは、小さな岩の表面やサンゴの枝間を丁寧に観察すること。撮影時はマクロレンズが必須で、ゆっくり近づかないとすぐに隠れてしまいます。興味深いことに、このウミウシはヒドロ虫類を餌にすることが知られており、餌となる生物の近くで見つかることもあります。
ターコイズミノウミウシ,Eubranchus sp.2,インド-太平洋,サンゴ礁域、岩礁の岩穴、転石帯,10~8mm,,鮮やかなターコイズブルーの体色が特徴的な小型ウミウシ。岩の上やサンゴの間をゆっくり移動する姿が観察できる。,ターコイズブルーの鮮やかな体色が目を引く小型のウミウシで、体長は10mmほどと非常に小さい。サンゴ礁や岩礁の岩穴、転石帯などで見られ、岩の上やサンゴの間をゆっくり這うように移動する。体色は光の当たり方によって青緑色にも見えることがあり、水中で出会うと宝石のように美しい。見つけるには、岩の表面やサンゴの隙間をじっくり観察することがポイント。小さなため見逃しやすいが、鮮やかな色のおかげで一度見つけると目立つ。撮影時はマクロレンズが必須で、できるだけ近づいて色合いを捉えると良い。インド-太平洋に分布し、その美しい色合いからダイバーに人気の種類である。,サンゴ礁域、岩礁の岩穴、転石帯,鮮やかなターコイズブルーの体色が特徴的な小型ウミウシ。岩の上やサンゴの間をゆっくり移動する姿が観察できる。,ターコイズブルーの鮮やかな体色が目を引く小型のウミウシで、体長は10mmほどと非常に小さい。サンゴ礁や岩礁の岩穴、転石帯などで見られ、岩の上やサンゴの間をゆっくり這うように移動する。体色は光の当たり方によって青緑色にも見えることがあり、水中で出会うと宝石のように美しい。見つけるには、岩の表面やサンゴの隙間をじっくり観察することがポイント。小さなため見逃しやすいが、鮮やかな色のおかげで一度見つけると目立つ。撮影時はマクロレンズが必須で、できるだけ近づいて色合いを捉えると良い。インド-太平洋に分布し、その美しい色合いからダイバーに人気の種類である。
ホソミノウミウシ,Eubranchus sp.3,西太平洋,藻場域、転石帯,6~10mm,,透明感のある小さな体に赤や紫色の斑紋があり、ウミウシの中でも特に繊細な印象。藻類の上をゆっくり移動する姿が見られる。,6-10mmほどの非常に小さなウミウシで、透明感のある体に赤や紫色の斑紋が散りばめられた繊細な外見が特徴です。主に藻場や転石帯で見られ、海藻の上をゆっくり這うように移動しています。体が小さいため発見が難しいですが、海藻が密生した場所を丁寧に観察すると見つけられることがあります。撮影時はマクロレンズが必須で、その透明感を活かすためにストロボの光を拡散させると美しく写ります。面白いことに、このウミウシは触覚のような突起（口触手）を持ち、それが特徴的なシルエットを作るので、ダイバーからの人気も高いです。,藻場域、転石帯,透明感のある小さな体に赤や紫色の斑紋があり、ウミウシの中でも特に繊細な印象。藻類の上をゆっくり移動する姿が見られる。,6-10mmほどの非常に小さなウミウシで、透明感のある体に赤や紫色の斑紋が散りばめられた繊細な外見が特徴です。主に藻場や転石帯で見られ、海藻の上をゆっくり這うように移動しています。体が小さいため発見が難しいですが、海藻が密生した場所を丁寧に観察すると見つけられることがあります。撮影時はマクロレンズが必須で、その透明感を活かすためにストロボの光を拡散させると美しく写ります。面白いことに、このウミウシは触覚のような突起（口触手）を持ち、それが特徴的なシルエットを作るので、ダイバーからの人気も高いです。
ホシアカリミノウミウシ,Eubranchus sp.4,西太平洋,サンゴ礁域、藻場域,8~8mm,,赤みを帯びた半透明の体に白色の斑点があり、ヒドロ虫類を餌とする。小さく繊細な姿で、藻の上をゆっくり移動。,ホシアカリミノウミウシは赤みがかった半透明の体に白色の斑点が散りばめられ、背中に並ぶリノフォア（触角状突起）が特徴的です。体長は5mm前後と非常に小さいため、ヒドロ虫類が付着している藻場を注意深く観察すると見つけられます。日中は藻の上をゆっくり這い回り、餌であるヒドロ虫を探す様子が観察可能です。撮影時はマクロレンズが必須で、できるだけ近づいても逃げない性質を活かし、リノフォアの繊細な質感を捉えると良いでしょう。学名の「sp.4」は未記載種であることを示し、ウミウシ愛好家の間では珍種として人気があります。,サンゴ礁域、藻場域,赤みを帯びた半透明の体に白色の斑点があり、ヒドロ虫類を餌とする。小さく繊細な姿で、藻の上をゆっくり移動。,ホシアカリミノウミウシは赤みがかった半透明の体に白色の斑点が散りばめられ、背中に並ぶリノフォア（触角状突起）が特徴的です。体長は5mm前後と非常に小さいため、ヒドロ虫類が付着している藻場を注意深く観察すると見つけられます。日中は藻の上をゆっくり這い回り、餌であるヒドロ虫を探す様子が観察可能です。撮影時はマクロレンズが必須で、できるだけ近づいても逃げない性質を活かし、リノフォアの繊細な質感を捉えると良いでしょう。学名の「sp.4」は未記載種であることを示し、ウミウシ愛好家の間では珍種として人気があります。
ジュズダマミノウミウシ,Eubranchus sp.5,慶良間諸島,サンゴ礁域、岩礁の岩穴,5~5mm,,透明な体に鮮やかな黄色やオレンジの斑点が散りばめられた美しいウミウシ。小さな触角が可愛らしく、岩の上をゆっくり移動。,ジュズダマミノウミウシは透明感のある体に、黄色やオレンジの鮮やかな斑点が特徴的で、まるでジュズダマを散りばめたような美しい姿が印象的です。体長は小さいものの、その色彩で水中でも目立ちます。岩礁やサンゴ礁の岩穴や隙間を好み、ゆっくりと移動する様子が観察できます。撮影の際は、その透明感と色のコントラストを活かすため、ストロボの角度に注意すると良いでしょう。面白いことに、このウミウシはヒドロ虫類を餌とするため、ヒドロ虫が付着している岩場を探すと見つけやすくなります。,サンゴ礁域、岩礁の岩穴,透明な体に鮮やかな黄色やオレンジの斑点が散りばめられた美しいウミウシ。小さな触角が可愛らしく、岩の上をゆっくり移動。,ジュズダマミノウミウシは透明感のある体に、黄色やオレンジの鮮やかな斑点が特徴的で、まるでジュズダマを散りばめたような美しい姿が印象的です。体長は小さいものの、その色彩で水中でも目立ちます。岩礁やサンゴ礁の岩穴や隙間を好み、ゆっくりと移動する様子が観察できます。撮影の際は、その透明感と色のコントラストを活かすため、ストロボの角度に注意すると良いでしょう。面白いことに、このウミウシはヒドロ虫類を餌とするため、ヒドロ虫が付着している岩場を探すと見つけやすくなります。
タマガワミノウミウシ,Eubranchus sp.6,日本,海藻やホヤが付着した岩礁域,6~15mm,,小さな透明感のある体に黄色やオレンジの斑点があり、ホヤの上を移動する姿がよく観察される。,タマガワミノウミウシは6〜15mmほどの小さなウミウシで、透明感のある体に黄色やオレンジ色の斑点が散りばめられた美しい見た目が特徴です。特にホヤ類の上を移動している姿がよく観察され、餌となるホヤを探しながらゆっくりと進む様子が見られます。ダイビング中に見つけるには、岩礁域でホヤが付着している場所を重点的に探すと良いでしょう。非常に小さいため、目を凝らして探す必要がありますが、鮮やかな色合いが目印になります。撮影の際はマクロレンズが必須で、ホヤとのコントラストを活かした構図がおすすめです。,海藻やホヤが付着した岩礁域,小さな透明感のある体に黄色やオレンジの斑点があり、ホヤの上を移動する姿がよく観察される。,タマガワミノウミウシは6〜15mmほどの小さなウミウシで、透明感のある体に黄色やオレンジ色の斑点が散りばめられた美しい見た目が特徴です。特にホヤ類の上を移動している姿がよく観察され、餌となるホヤを探しながらゆっくりと進む様子が見られます。ダイビング中に見つけるには、岩礁域でホヤが付着している場所を重点的に探すと良いでしょう。非常に小さいため、目を凝らして探す必要がありますが、鮮やかな色合いが目印になります。撮影の際はマクロレンズが必須で、ホヤとのコントラストを活かした構図がおすすめです。
ヒョウタンミノウミウシ,Eubranchus sp.7,西太平洋,サンゴ礁域、藻場域,7~7mm,,透明感のある体にオレンジや黄色の斑点があり、ヒョウタンのような突起が特徴。藻類の上をゆっくり移動する姿が見られる。,透明感のあるゼラチン質の体に、オレンジや黄色の鮮やかな斑点が散りばめられた美しいウミウシです。背中にはヒョウタンやこん棒のようなユニークな突起が並び、その形状から和名が付けられています。体長は小さく、藻類が生い茂る場所を好み、ゆっくりと移動しながら餌を探します。観察する際は、藻場やサンゴの陰を注意深く探すと見つけやすく、小さな体なのでマクロレンズでの撮影がおすすめです。興味深いことに、このウミウシはヒドロ虫類を餌としており、餌となる生物の近くで発見されることも多いです。,サンゴ礁域、藻場域,透明感のある体にオレンジや黄色の斑点があり、ヒョウタンのような突起が特徴。藻類の上をゆっくり移動する姿が見られる。,透明感のあるゼラチン質の体に、オレンジや黄色の鮮やかな斑点が散りばめられた美しいウミウシです。背中にはヒョウタンやこん棒のようなユニークな突起が並び、その形状から和名が付けられています。体長は小さく、藻類が生い茂る場所を好み、ゆっくりと移動しながら餌を探します。観察する際は、藻場やサンゴの陰を注意深く探すと見つけやすく、小さな体なのでマクロレンズでの撮影がおすすめです。興味深いことに、このウミウシはヒドロ虫類を餌としており、餌となる生物の近くで発見されることも多いです。
