和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
アカメハゼ,"Bryaninops natans Larson, 1985",琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。ミドリイシ科の枝状やテーブル状サンゴ周囲でホバリング。生息水深1-20m,2cm,6m,透明な体に赤い目が特徴。ミドリイシ科のサンゴ周囲でホバリングする。,透明な体に赤い目が特徴的なアカメハゼです。ミドリイシ科の枝状やテーブル状サンゴ周囲でホバリングする姿が観察できます。水深6mほどの場所に生息し、体長は最大2cmと非常に小さいため、見つけるのが難しい種類です。サンゴの枝の間をゆっくりと泳ぎ回るため、マクロレンズでじっくりと狙うのがおすすめです。
イロワケガラスハゼ,"Bryaninops natans (Seale, 1906)",奄美大島、沖縄諸島、八重山諸島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。枝状のハマサンゴ類やアナサンゴモドキ類に単独で着生。生息水深2-15m,2.2cm,4m,透明な体に黒い縞模様がある。枝状のハマサンゴ類に単独で着生する。,透明な体に黒い縞模様があるイロワケガラスハゼです。枝状のハマサンゴ類やアナサンゴモドキ類に単独で着生するため、サンゴの枝の間をゆっくりと泳ぎ回る姿が観察できます。水深4mほどの場所に生息し、体長は最大2.2cmと小さいため、見つけるのが難しい種類です。マクロレンズでじっくりと狙うのがおすすめです。
ホソガラスハゼ,"Bryaninops loki Larson, 1985",愛媛県宇和海、高知県柏島、沖縄諸島、八重山諸島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。ウミスゲ類やヒラヤギ類に数個体で着生。生息水深20-30m,2.5cm,30m,透明な体に細長い形が特徴。ウミスゲ類に数個体で着生する。,透明な体に細長い形が特徴的なホソガラスハゼです。ウミスゲ類やヒラヤギ類に数個体で着生するため、海藻の間をゆっくりと泳ぎ回る姿が観察できます。水深30mほどの深い場所に生息し、体長は最大2.5cmと小さいため、見つけるのが難しい種類です。マクロレンズでじっくりと狙うのがおすすめです。
スジグロガラスハゼ,"Bryaninops tigris Larson, 1985",高知県柏島、西表島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面ドロップオフ。ウミカラマツ類に数個体で着生。生息水深15-40m,2.5cm,17m,透明な体に黒い縞模様がある。ウミカラマツ類に数個体で着生する。,透明な体に黒い縞模様があるスジグロガラスハゼです。ウミカラマツ類に数個体で着生するため、海藻の間をゆっくりと泳ぎ回る姿が観察できます。水深17mほどの場所に生息し、体長は最大2.5cmと小さいため、見つけるのが難しい種類です。マクロレンズでじっくりと狙うのがおすすめです。
オオガラスハゼ,Bryaninops alpha,小笠原諸島、千葉県、相模湾、伊豆半島、和歌山県、高知県柏島、慶良間諸島、八重山諸島；インド・太平洋,内湾、サンゴ礁域の礁斜面。ウミスゲ類に単独かペアで着生。生息水深10-35m,5cm,16m,透明な体に大きめのサイズが特徴。ウミスゲ類に単独かペアで着生する。,透明な体に大きめのサイズが特徴的なオオガラスハゼです。ウミスゲ類に単独かペアで着生するため、海藻の間をゆっくりと泳ぎ回る姿が観察できます。水深16mほどの場所に生息し、体長は最大5cmと比較的大きいため、見つけやすい種類です。マクロレンズでじっくりと狙うのがおすすめです。
タレクチウミタケハゼ,Pleurosicya boldinghi,紀伊半島、高知県柏島、西表島；西部太平洋,内湾の中程から湾奥、サンゴ礁域の礁斜面。ツボ状カイメン類に着生。生息水深20-35m,2.5cm,20m,透明な体に小さなサイズが特徴。ツボ状カイメン類に着生する。,透明な体に小さなサイズが特徴的なタレクチウミタケハゼです。ツボ状カイメン類に着生するため、カイメンの表面をゆっくりと泳ぎ回る姿が観察できます。水深20mほどの深い場所に生息し、体長は最大2.5cmと小さいため、見つけるのが難しい種類です。マクロレンズでじっくりと狙うのがおすすめです。
ウミショウブハゼ,Pleurosicya bilobata,沖縄島、八重山諸島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁原。ウミショウブやリュウキュウスガモなどの海草に着生。生息水深1-3m,2.5cm,2.5m,透明な体に小さなサイズが特徴。ウミショウブやリュウキュウスガモに着生する。,透明な体に小さなサイズが特徴的なウミショウブハゼです。ウミショウブやリュウキュウスガモなどの海草に着生するため、海草の間をゆっくりと泳ぎ回る姿が観察できます。水深2.5mほどの浅い場所に生息し、体長は最大2.5cmと小さいため、見つけるのが難しい種類です。マクロレンズでじっくりと狙うのがおすすめです。
スケロクウミタケハゼ,Pleurosicya elongata,伊豆諸島、相模湾、伊豆半島、紀伊半島、愛媛県宇和海、高知県柏島、奄美大島、沖縄島、西表島；インド・太平洋,内湾、サンゴ礁域の礁斜面。トゲトサカ類に単独かペアで着生。生息水深20-40m,3.5cm,30m,透明な体に細長い形が特徴。トゲトサカ類に単独かペアで着生する。,透明な体に細長い形が特徴的なスケロクウミタケハゼです。トゲトサカ類に単独かペアで着生するため、サンゴの枝の間をゆっくりと泳ぎ回る姿が観察できます。水深30mほどの深い場所に生息し、体長は最大3.5cmと小さいため、見つけるのが難しい種類です。マクロレンズでじっくりと狙うのがおすすめです。
ハシブトウミタケハゼ,"Pleurosicya prognatha Larson, 1990",紀伊半島、奄美大島、慶良間諸島、石垣島、西表島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁池・礁湖。ミドリイシ属のサンゴに単独かペアで着生。生息水深2-15m,2cm,2-15m,小さな透明感のある体で、ミドリイシ属サンゴにペアで着く。目立たないが、サンゴの枝間にひっそりと潜む。,体長2cmほどの微小種で、半透明の体に微細な斑点が散在します。ミドリイシ属サンゴの枝間に単独かペアで着生し、サンゴのポリプ間を素早く移動。観察時はサンゴ表面を丹念に見渡す必要があり、マクロレンズでの撮影が必須。餌を捕食する際に小刻みに震える様子が可愛らしい。同属他種と比べ内湾に強く、濁った水域でも見つけやすい。
ウミタケハゼ,"Pleurosicya muscarum (Jordan et Scale, 1906)",琉球列島；インド・太平洋,サンゴ礁域の礁外縁。オオウミキノコに単独で着生。生息水深約10m,3cm,約10m,鮮やかなオレンジ色の体で、オオウミキノコに張り付くように生息。10m前後の礁外縁で単独行動。,オオウミキノコの表面に吸着するように生活する体長3cmのハゼ。鮮明なオレンジ色の体に白色斑が特徴で、宿主のウミキノコが赤色のため保護色となる。潮通しの良いサンゴ礁外縁部に分布し、ウミキノコ1個体に1匹しか棲まない習性あり。近づくとウミキノコの陰に隠れるため、斜め上からのアングルで撮影すると良い。
セボシウミタケハゼ,"Pleurosicya mossambica Smith, 1959",伊豆諸島、相模湾、伊豆半島、愛媛県宇和海、高知県、奄美大島、沖縄諸島、八重山諸島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁原外縁・礁斜面。ウミトサカ類・カイメン類・スリバチサンゴ類に着生。生息水深2-20m,3cm,2-20m,半透明の体に赤褐色の縦線が特徴。ウミトサカやカイメンに擬態し、じっと静止していることが多い。,体がほぼ透明で背面に5本の赤褐色縦帯が走る擬態の達人。ウミトサカ類やカイメン類にぴったり張り付き、宿主の触手と見分けがつかないほど。2-20mと広い深度帯に分布し、特にスリバチサンゴの群体上で高確率で発見可能。動きが少ないため撮影しやすいが、呼吸で開閉する口がチャームポイント。共生宿主によって体色が微妙に変化する興味深い種。
ヒラウミタケハゼ,"Pleurosicya laticeps Larson, 1990",沖縄諸島、石垣島、西表島;インド・太平洋,サンゴ礁域の礁外縁、波当たりがやや強く潮通しの良い礁縁部のアオサンゴに単独で着生。生息水深4-8m,2cm,5m,平たい体形でアオサンゴに密着。青白い体色がサンゴと一体化し、波打ち際で見つけにくい。,著しく側扁した体が特徴で、アオサンゴの枝にぴたりと貼り付く体長2cmのハゼ。宿主サンゴとほぼ同色の青みがかった半透明体色で、潮通しの良い礁縁部に適応。4-8mの浅所に生息するが、サンゴの反射光に紛れて発見困難。水流が強い場所を好むため、サンゴの風下側を重点的に探すと良い。産卵期には縄張り行動が見られる貴重な観察対象。
アカスジウミタケハゼ,Pleurosicya micheli,伊豆諸島、相模湾、伊豆半島、紀伊半島、愛媛県宇和海、高知県柏島、奄美大島、沖縄諸島、八重山諸島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。ダイオウサンゴなどの塊状や葉状のイシサンゴ類に着生。水深10-35m,3cm,25m,赤褐色の体に明瞭な白帯が目立つ。ダイオウサンゴの陰に潜み、深場(25m以深)で観察される。,深場専門のハゼで、赤茶色の地色に白色横帯が3本入る派手な体色が特徴。ダイオウサンゴなどの大型塊状サンゴの隙間や葉状サンゴの下面に潜み、10-35mの深度に分布。特に25m以深で個体数が増え、ダイバーが近づくとサンゴの陰へ素早く退避。ストロボ光で赤色が鮮やかに浮かび上がるため、マクロ撮影の好被写体。共生エビがいない珍しい生活史を持つ。
ヨリメハゼ,"Cabillus caudimacula (Fowler, 1927)",伊豆半島、紀伊半島、琉球列島；インド・太平洋,内湾、サンゴ礁域の礁斜面や礁湖、礁池、礁原。砂底の死サンゴ片や死サンゴ塊の下に単独で見られる。生息水深3m以浅。,4cm,0.5m,砂地の死サンゴ片下に隠れる。黄色い斑点と尾ビレ基部の目玉模様が特徴的。,浅瀬の砂地で死サンゴ片の下に単独で潜む体長4cmのハゼ。薄茶色の体に黄色い斑点が散在し、尾ビレ付け根の目玉模様が威嚇用。水深3m以浅とアクセスしやすく、砂を蹴り上げながら移動するユニークな動きが観察可能。警戒心が強く、物陰に素早く隠れるため、事前に潜んで待機する撮影方法が有効。幼魚はもっと鮮やかな黄色をしている。
ミカゲハゼ,"Cabillus microps Smith, 1959",慶良間諸島、西表島；インド・西太平洋,内湾、サンゴ礁域の礁斜面や礁湖、礁池、礁原。砂底の死サンゴ片や死サンゴ塊の下に単独から数匹で見られる。生息水深1〜10m。,4cm,6m,砂地の穴から顔を出す茶色いハゼ。ミカゲハゼは慶良間や西表島の限られた海域で見られる。,全身が均一な茶褐色で、砂底の死サンゴ塊の隙間からひょっこり顔を出す姿が愛らしい。1-10mの浅瀬に分布するが、慶良間諸島と西表島という限定海域に生息する貴重種。同所的に見られるヨリメハゼより瞳が大きく、丸い目がチャームポイント。砂煙を立てながら穴に逃げ込むため、最低30cmは距離を保って観察したい。日中も活発に餌を探す。
ヤハズハゼ,"Bathygobius cyclopterus (Valenciennes, 1837)",伊豆諸島、伊豆半島、高知県、宮崎県、屋久島、種子島、琉球列島；インド・太平洋,岩礁性海岸のタイドプールや波打ち際の転石下・転石間に単独で生息。生息水深1m以浅,6.5cm,0.1m,潮だまりの岩陰に潜む。黒褐色の体に青色斑点が散在し、波打ち際でも生き抜くタフな性格。,タイドプールの王者とも呼ばれ、波打ち際の転石下でたくましく生きる体長6.5cmのハゼ。黒褐色の地色に青白い斑点が星のように散りばめられ、潮の満ち引きに耐える強固な鱗を持つ。観察時は岩をゆっくりひっくり返すと、ピョンピョン跳ねるように逃げる様子が見もの。夏場の産卵期にはオスが巣穴を守る護卵行動が観察できる。
クモハゼ,"Bathygobius fuscus (Rüppell, 1830)",小笠原諸島、八丈島、千葉県・若狭湾～与那国島；インド・太平洋,河川河口周辺、岩礁性海岸、サンゴ礁域礁原内縁の死サンゴ片混じり砂泥底やタイドプールに単独で生息。生息水深2m以浅,10cm,0.5m,河口付近でよく見られる灰褐色のハゼ。死サンゴ混じりの砂地で縄張りを張る。,河川の汽水域からサンゴ礁まで幅広く適応する体長10cmの汎用種。灰褐色の体に不規則な暗色斑が入り、環境によって体色変化が顕著。死サンゴ片が混じる砂地で単独生活し、胸ビレで砂をかき分けながら餌を探す様子が観察可能。タイドプールでは人間を威嚇するように口を大きく開ける面白い行動が見られ、マクロ接写に最適な被写体。
クロクモハゼ,"Bathygobius niger (Smith, 1960)",八丈島、日之永良部島、沖縄島；インド洋,サンゴ礁域の岩礁性海岸、石灰岩海蝕崖下のタイドプール転石下に生息。幼魚は水深2mのクロウエの棘間でも確認,5cm,1m,漆黒の体が目立つ希少種。八丈島や沖縄島の潮だまりでひっそり生息。,全身が漆黒に染まる神秘的な体長5cmのハゼ。国内では八丈島・沖縄島など限られた地域の潮だまりに生息し、石灰岩の割れ目に潜む。幼魚時は水深2mのクロウエ（ウニ）の棘の間で見つかることも。黒い体色は強い紫外線から身を守る適応と考えられ、暗い背景で撮影すると存在感が際立つ。個体数が少なく、遭遇したらラッキーなレア種。
カワクモハゼ,Bathygobius sp. A,西表島、バリ島,河川の河口域。岩の隙間やカキ殻の間に単独で見られる,4.5cm,1m,河口のカキ殻の隙間に棲む。褐色の体に黒い縞模様が特徴で、汽水域に強い。,河川の汽水域に特化した体長4.5cmのハゼで、カキ殻が積もる岩陰を好む。薄茶色の地に4本の黒褐色横帯が入り、潮の流れに逆らってじっと静止する習性あり。西表島とインドネシア・バリ島のみで確認される分布の謎が多い種。観察時は干潮時に河口の岩をそっと持ち上げると、ピチピチ跳ねるように逃げる姿が見られる。淡水との行き来が可能な特殊な浸透圧調節能力を持つ。
スジクモハゼ,"Bathygobius cocosensis (Bleeker, 1854)",小笠原諸島、八丈島、千葉県～与那国島、インド・太平洋,河川の河口周辺、岩礁性海岸、サンゴ礁域の礁原内縁。死サンゴ片や砂泥底、タイドプールに単独で見られる。生息水深は2m以浅,6cm,0.5m,砂地に点在する小石の下に隠れる。体側の青色縦線がアクアリウムでも人気。,薄茶色の体に鮮やかな青縦線が走る体長6cmの美種。サンゴ礁域の浅瀬から河口まで幅広く分布し、転石の下や死サンゴの隙間で単独生活。警戒心が強く、近づくと砂煙を上げて逃げるため、遠巻きに観察するのがコツ。青色の縞模様は個体によって濃淡が異なり、求愛時にはさらに発色が鮮やかになる。小型水槽で飼育可能なため人気が高い。
クロヤハズハゼ,"Bathygobius padangensis (Bleeker, 1851)",小笠原諸島、伊豆諸島、千葉県、相模湾、伊豆半島、三重県、高知県、鹿児島県、屋久島、種子島、琉球列島、インド・西太平洋,河川の河口周辺、岩礁性海岸、サンゴ礁域の礁原内縁。死サンゴ片や砂泥底、タイドプールに単独で見られる。生息水深は2m以浅,10cm,0.5m,岩礁の潮だまりでよく見かける大型ハゼ。黒褐色の体に白色斑点が散在。,潮だまりの常連種で体長10cmに達する大型ハゼ。黒褐色の地色に白色斑点が散在し、オスの成体は頭部が肥大化する性的二形が特徴。岩陰に掘った巣穴を中心に縄張りを持ち、近づくと威嚇するように鰓蓋を広げる勇ましい姿が見られる。産卵期のオスは巣穴に複数のメスを誘導するハーレム形成が確認されており、行動観察の好対象。幼魚はもっと明るい茶色をしている。
クロホシヤリヽズハゼ,Bathygobius cotticeps,相模湾、静岡県、淡路島、高知県、宮崎県、鹿児島県、種子島、屋久島、奄美大島、沖縄島；西部太平洋,内湾の砂泥底や砂底にある岩の周辺や窪み、生息水深4-6m,6cm,6m,内湾の砂泥底に穴を掘る。目の後ろの黒斑と小さな胸ビレが識別ポイント。,内湾の砂泥底に直径5cmほどの巣穴を作る体長6cmのハゼ。全体的に薄灰色で、鰓蓋後方にある黒色斑が最大の特徴。4-6mのやや深みに分布し、巣穴から半身を出してプランクトンを捕食する様子が観察可能。同属他種と比べ胸ビレが小さいため、砂をかく動作が不器用で愛嬌がある。潮通しの良い砂地で複数の個体がコロニーを形成する場合も。
ホタテツブハゼ,Flabelligobius sp. A,伊豆大島、和歌山県、高知県、奄美大島、沖縄諸島；西部太平洋,内湾の湾口・サンゴ礁域の礁斜面、礫混じりの砂底、コトブキテッポウエビと共生、生息水深30-40m,4cm,38m,超深場(30m以深)に棲む神秘的なハゼ。コトブキテッポウエビと共生し、砂礫底に穴を作る。,30-40mの深場専門種で、体長4cmと小さいながらもテッポウエビと共同で立派な巣穴を構築。半透明の体に赤褐色の細点が散在し、常に触角のように伸ばした第1背ビレが特徴的。共生相手のコトブキテッポウエビが巣穴をメンテナンスする間、外敵の監視役を務める興味深い習性を持つ。テクニカルダイビングでないと観察困難な、上級者向けの貴重な被写体。
ヒメオニハゼ,"Tomiyamichthys latruncularius Iwata, Ohnishi et Hirata, 2000",伊豆半島、高知県柏島、奄美大島、沖縄諸島、西表島；インドネシア,内湾の湾口から中程、サンゴ礁域の礁斜面。礫混じりの砂底でコトブキテッポウエビと単独かペアで共生。生息水深20-35m,5cm,30m,砂地の巣穴でテッポウエビと共生。鮮やかな橙色と青い斑点が目を引く美種。,20-35mの砂礫底に分布する体長5cmのカラフルなハゼ。橙色の体に青い斑点が散りばめられ、共生するコトブキテッポウエビの巣穴を共同利用。常に穴の入り口でホバリングし、危険を感知するとエビと共に砂煙を上げて退避する。求愛時にはオスがメスの周りをクルクル回るダンスを見せ、水中写真家に人気が高い。インドネシアと日本でしか確認されていない珍しい分布パターンを持つ。
オニハゼ,Tomiyamichthys oni,日本固有: 小笠原諸島、伊豆大島、千葉県～鹿児島県、奄美大島、沖縄諸島、久米島、西表島,内湾の湾口から中程、サンゴ礁域の礁斜面、礫混じりの砂底や砂泥底、テッポウエビ類と共生,11cm,10-35m,,
オドリハゼ,"Lotilia graciliosa Klausewitz, 1960",紀伊半島、奄美大島、沖縄諸島、石垣島、西表島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面、ドロップオフ下の砂底・砂泥底。ダンスゴビーシュリンプと共生。生息水深1-50m。,4cm,15m,有名なダンスゴビーシュリンプと共生。黒いボディに黄色いラインが入るスマートな体型。,ダンスゴビーシュリンプとペアで共生する体長4cmのハゼ。漆黒の体に鮮やかな黄色の縦線が走り、特に尾ビレの黄色がアクセント。1-50mと広い深度範囲に分布し、砂地の巣穴の上で常に触覚のように伸ばした背ビレを振るわせる姿が「ダンス」の由来。シュリンプが砂を運ぶ間、ハゼは外敵を監視する役割分担が観察の醍醐味。日中は常に巣穴の真上でホバリングしている。
ネジリンボウ,Stonogobiops xanthorhinicus,伊豆半島以南、琉球列島、西太平洋,砂泥底、テッポウエビと共生,6.5cm,9m,砂泥底でテッポウエビと共生。白色の体に赤褐色の縦帯が美しく、ネジれた動きで泳ぐ。,白い体に3本の赤褐色縦帯が入る体長6.5cmのハゼ。砂泥底でテッポウエビと共同生活し、巣穴の周囲を螺旋状に泳ぐユニークな移動方法が名前の由来。警戒心が強く、近づくとテッポウエビより先に穴に潜り込むのが特徴。求愛ダンス時にはオスがメスの周りをくるくると回転し、その様子は「砂上のワルツ」と形容される。照明を当てると体表が虹色に輝く。
ヒレナガネジリンボウ,"Stonogobiops nematodes Hoese et Randall, 1982",伊豆諸島、相模湾、伊豆半島、和歌山県田辺湾、愛媛県宇和海、高知県柏島、奄美大島、沖縄諸島、八重山諸島；インド・西太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。礫混じりの砂底でコトブキテッポウエビと共生。生息水深30-55m,5cm,32m,超深場(30m以深)の専門家。透明感のある体に橙色の斑点が散在し、長い背ビレが特徴。,30-55mの深場に特化した体長5cmのハゼ。半透明の体にオレンジ色の斑点が散り、特に第1背ビレが異常に長く発達している。コトブキテッポウエビと共生し、砂礫底の複雑なトンネルネットワークを形成する。他のネジリンボウ類と比べ水深が深く、テクニカルダイビングでないと観察困難な上級者向け種。長い背ビレは水流感知器官として機能していると考えられる。
キツネメネジリンボウ,"Stonogobiops sp. punctulatus Iwata et Hirata, 1994",日本固有：伊豆半島大瀬崎、高知県柏島,内湾から外洋に面した開けた細かいきれいな砂底。コトブキテッポウエビと共生。生息水深20-50m,4cm,28m,白地に黒い斑点が特徴の小型ハゼ。コトブキテッポウエビと共生し、砂底で巣穴の上をホバリングする姿が見られる。,白地に黒い斑点が散りばめられた可愛らしい小型ハゼです。コトブキテッポウエビと共生しており、エビが掘った巣穴の上でホバリングする姿が観察できます。水深28m以深の砂底で見られることが多く、エビと協力して巣穴を守る様子は非常に興味深いです。警戒心が強く近づくとすぐに巣穴に隠れるため、ゆっくりと接近するのがポイントです。マクロレンズで撮影すると、その繊細な模様がよくわかります。
ヤシャハゼ,"Stonogobiops yasha Yoshino et Shimada, 2001",小笠原諸島、伊豆諸島、伊豆半島、紀伊半島、高知県柏島、奄美大島、沖縄諸島、八重山諸島；西部太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。礫混じりの砂底でコトブキテッポウエビと単独かペアで共生。巣穴の上でホバリング。生息水深15-55m,6cm,26m,鮮やかな黄色と黒の縞模様が特徴。砂底でテッポウエビと共生し、巣穴の前でホバリングする姿が観察できる。,鮮やかな黄色と黒の縞模様が目を引く美しいハゼです。コトブキテッポウエビと共生し、巣穴の前でホバリングする姿がよく観察されます。水深26m前後の砂底や礫混じりの砂地で見られ、ペアでいることもあります。警戒心が強く、ダイバーが近づくと素早く巣穴に隠れてしまいます。撮影の際はゆっくりと接近し、巣穴から少し離れた位置で待つと再び姿を現すことがあります。水中写真家に人気の被写体です。
ホシゾラハゼ,Cryptocentrus sp. A,奄美大島、西表島；西部太平洋,内湾の湾奥。軟泥底から砂泥底でテッポウエビ類と単独かペアで共生。生息水深2-15m,6.5cm,6m,青みがかった体に白色の斑点が散らばる。泥底でテッポウエビ類と共生し、単独かペアで見られる。,青みがかった体色に白色の斑点が星空のように散らばる美しいハゼです。水深6m以浅の泥底や砂泥底でテッポウエビ類と共生しており、単独かペアで観察できます。湾奥の静かな環境を好み、エビと共同で巣穴を守る様子は非常に興味深いです。警戒心が強く、近づくとすぐに巣穴に隠れてしまうため、ゆっくりと接近するのがポイントです。マクロレンズで撮影すると、その繊細な模様がよくわかります。
タカノハハゼ,Cryptocentrus insignitus,広島県、種子島、琉球列島; インド・西太平洋,河川の河口周辺やマングローブ林、内湾の湾奥。礫混じりの砂泥底でテッポウエビ類と単独で共生。生息水深3m以浅,6cm,15m,褐色の体に特徴的な模様を持つ。河口周辺の砂泥底でテッポウエビと共生し、単独で見られる。,褐色の体に特徴的な模様を持つハゼです。水深15m以浅の河口周辺やマングローブ林付近の砂泥底で、テッポウエビ類と単独で共生しています。巣穴の周辺でホバリングする姿が観察でき、危険を感知すると素早く巣穴に隠れます。環境適応力が高く、汽水域でも見られることが特徴です。撮影の際は、じっくりと待って巣穴から出てくるのを待つのがコツです。
イトヒキハゼ,Cryptocentrus filifer,千葉県、新潟県～鹿児島県、瀬戸内海; インド・西太平洋,内湾の軟泥底から砂泥底でニセオニテッポウエビなどと単独で共生。生息水深6-25m,13cm,7m,細長い体と長い背びれが特徴。砂泥底でニセオニテッポウエビと共生し、単独で見られる。,細長い体と長く伸びた背びれが特徴的なハゼです。水深7m前後の内湾の砂泥底で、ニセオニテッポウエビと単独で共生しています。巣穴の周辺をゆっくりと泳ぎ回り、危険を感知すると素早く巣穴に隠れます。体長が13cmと比較的大きく、水中でよく目立ちます。撮影の際は、巣穴から少し離れた位置で待ち構えると、自然な姿を捉えることができます。
ヒノマルハゼ,Cryptocentrus strigilliceps,奄美大島、沖縄諸島、西表島; インド・太平洋,内湾の中程から湾奥。礫混じりの砂泥底でテッポウエビ類と単独で共生。生息水深2-15m,6cm,3m,鮮やかな赤い斑点が特徴。砂泥底でテッポウエビ類と共生し、単独で見られる。,体に鮮やかな赤い斑点が散りばめられた美しいハゼです。水深3m以浅の内湾の砂泥底で、テッポウエビ類と単独で共生しています。巣穴の周辺でホバリングする姿が観察でき、危険を感知すると素早く巣穴に隠れます。鮮やかな体色は暗い砂泥底でよく目立ち、水中写真家に人気の被写体です。撮影の際は、ストロボの光を柔らかく当てると、赤い斑点がより鮮やかに写ります。
クロホシハゼ,Cryptocentrus sp.,和歌山県、高知県柏島、屋久島、琉球列島；西部太平洋,内湾の湾口から中程、サンゴ礁域の礁原・礁斜面。ドロップオフの亀裂下の砂溜まり、礫や死サンゴ片混じりの砂底でクマドリテッポウエビと共生,10cm,6-20m,黒い斑点が特徴的な大型ハゼ。砂底でクマドリテッポウエビと共生し、単独で見られる。,黒い斑点が特徴的な大型のハゼです。水深6-20mの砂底や礫混じりの砂地で、クマドリテッポウエビと共生しています。巣穴の周辺でゆっくりと泳ぎ回り、危険を感知すると素早く巣穴に隠れます。体長が10cmと大きく、水中でよく目立ちます。撮影の際は、巣穴から少し離れた位置で待ち構えると、自然な姿を捉えることができます。共生するエビの動きも一緒に撮影すると、より興味深い写真になります。
シロオビハゼ,Cryptocentrus albidorsus,八丈島、和歌山県、宮崎県、種子島、琉球列島；台湾,内湾、サンゴ礁域の礁原。砂底、礫や死サンゴ片混じりの砂底、タイドプールでテッポウエビ属の1種と共生,10cm,10m以浅（とくに2m以浅）,白色の帯が特徴。浅い砂底でテッポウエビと共生し、単独で見られる。,体側に白色の帯が入る特徴的なハゼです。水深10m以浅の砂底や礫混じりの砂地で、テッポウエビ属の1種と共生しています。巣穴の周辺でホバリングする姿が観察でき、危険を感知すると素早く巣穴に隠れます。浅瀬で見られることが多く、初心者ダイバーにも観察しやすい種類です。撮影の際は、ストロボの光を柔らかく当てると、白色の帯がよりくっきりと写ります。
オイランハゼ,Cryptocentrus singapurensis,琉球列島以南、西太平洋、インド洋,内湾の砂泥底・マングローブ域,12cm,15m,褐色の体に不規則な模様が特徴。砂泥底でテッポウエビと共生し、単独で見られる。,褐色の体に不規則な模様が入るハゼです。水深15m前後の内湾の砂泥底やマングローブ域で、テッポウエビと共生しています。巣穴の周辺でゆっくりと泳ぎ回り、危険を感知すると素早く巣穴に隠れます。体長が12cmと比較的大きく、水中でよく目立ちます。撮影の際は、巣穴から少し離れた位置で待ち構えると、自然な姿を捉えることができます。環境適応力が高く、汽水域でも見られることが特徴です。
ブチハゼ,Cryptocentrus inexplicatus,石垣島、西表島;西部太平洋,内湾の湾奥。砂泥底や礫混じりの砂泥底で、テッポウエビ類と単独で共生。生息水深3m以浅,6.5cm,3m,体に小さな斑点が散らばる。浅い砂泥底でテッポウエビ類と共生し、単独で見られる。,体に小さな斑点が散らばる可愛らしいハゼです。水深3m以浅の内湾の砂泥底で、テッポウエビ類と単独で共生しています。巣穴の周辺でホバリングする姿が観察でき、危険を感知すると素早く巣穴に隠れます。浅瀬で見られることが多く、初心者ダイバーにも観察しやすい種類です。撮影の際は、マクロレンズを使うと、小さな斑点の模様がよくわかります。共生するエビの動きも一緒に撮影すると、より興味深い写真になります。
ギンガハゼ,Cryptocentrus cinctus,奄美大島、八重山諸島;インド・太平洋,内湾の中程から湾奥。礫混じりの砂底や砂泥底で、テッポウエビ類と単独かペアで共生。生息水深1-6m,6.5cm,3m,銀色の体に青色の斑点が特徴。浅い砂底でテッポウエビ類と共生し、単独かペアで見られる。,銀色の体に青色の斑点が散りばめられた美しいハゼです。水深3m以浅の内湾の砂底で、テッポウエビ類と単独かペアで共生しています。巣穴の周辺でホバリングする姿が観察でき、危険を感知すると素早く巣穴に隠れます。浅瀬で見られることが多く、初心者ダイバーにも観察しやすい種類です。撮影の際は、ストロボの光を柔らかく当てると、青色の斑点がより鮮やかに写ります。
フタホシタカノハハゼ,Cryptocentrus sp. B,奄美大島、沖縄諸島、西表島；インド・西太平洋,内湾の中程から湾奥、礫混じりの砂泥底、テッポウエビ類と単独で共生、水深10-50m,8cm,20m,褐色の体に2つの黒い斑点が特徴。砂泥底でテッポウエビ類と共生し、単独で見られる。,褐色の体に2つの黒い斑点が特徴的なハゼです。水深20m前後の内湾の砂泥底で、テッポウエビ類と単独で共生しています。巣穴の周辺でゆっくりと泳ぎ回り、危険を感知すると素早く巣穴に隠れます。体長が8cmと比較的大きく、水中でよく目立ちます。撮影の際は、巣穴から少し離れた位置で待ち構えると、自然な姿を捉えることができます。共生するエビの動きも一緒に撮影すると、より興味深い写真になります。
