和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
オガサワラコブシガニ,Leucosia insularis,琉球列島、小笠原諸島,砂泥底,甲幅1cm,2～30m,小さな甲羅が特徴で、砂地に潜んでいることが多い。警戒心が強く、そっと近づく必要がある。,オガサワラコブシガニは小さな甲羅が特徴で、砂地に潜んでいることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、ゆっくりと接近し、フラッシュを使わないようにすると良いでしょう。面白いことに、この種類は小笠原諸島にも分布しており、比較的南の海域で見られることが特徴です。
コブシガニモドキ,Pseudophilyra heterograna,相模湾～九州、東南アジア、オーストラリア、インド洋、紅海,砂泥底,甲長1cm,5～30m,甲羅に小さなこぶがあり、砂地でじっとしていることが多い。小さなはさみが特徴。,コブシガニモドキは甲羅に小さなこぶがあり、砂地でじっとしていることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、ゆっくりと接近し、フラッシュを使わないようにすると良いでしょう。面白いことに、この種類は紅海にも分布しており、広い範囲で見られることが特徴です。
マメコブシガニ,Philyra pisum,岩手県以南、韓国、中国北部,砂泥底,甲長1cm,1～5m,非常に小さな甲羅が特徴で、砂地に潜んでいることが多い。警戒心が強く、そっと近づく必要がある。,マメコブシガニは非常に小さな甲羅が特徴で、砂地に潜んでいることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、マクロレンズを使い、ゆっくりと接近すると良いでしょう。面白いことに、この種類は中国北部にも分布しており、比較的北の海域で見られることが特徴です。
テナガコブシガニ,Myra fugax,房総半島～九州、東シナ海、南太平洋、インド洋、紅海、地中海,砂泥底,甲長3cm,10～180m,長いはさみが特徴で、砂地を素早く移動する。ダイバーには人気の種類。,テナガコブシガニは長いはさみが特徴で、砂地を素早く移動します。体色は淡い褐色で、ダイバーには人気の種類です。観察の際は、砂地をゆっくりと探し、動き回る個体を見つけると良いでしょう。撮影のポイントは、長いはさみを活かした構図です。面白いことに、この種類は地中海にも分布しており、広い範囲で見られることが特徴です。
ジュウイチトゲコブシガニ,Arcania undecimpinosa,岩手県以南、韓国、中国、台湾、オーストラリア、インド洋,砂泥底,甲長1.5cm,20～200m,甲羅にトゲがあり、砂地に潜んでいることが多い。小さなはさみが特徴。,ジュウイチトゲコブシガニは甲羅にトゲがあり、砂地に潜んでいることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、ゆっくりと接近し、フラッシュを使わないようにすると良いでしょう。面白いことに、この種類はオーストラリアにも分布しており、広い範囲で見られることが特徴です。
ヒメトゲコブシガニ,Nucia speciosa,相模湾～九州、中国,砂泥底,甲幅2〜3cm,20～100m,甲羅に小さなトゲがあり、砂地でじっとしていることが多い。小さなはさみが特徴。,ヒメトゲコブシガニは甲羅に小さなトゲがあり、砂地でじっとしていることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、ゆっくりと接近し、フラッシュを使わないようにすると良いでしょう。面白いことに、この種類は中国にも分布しており、比較的北の海域で見られることが特徴です。
イボツブコブシガニ,Nucia speciosa,奄美大島以南、ハワイ、南太平洋、インド洋、紅海,砂泥底,甲幅1〜2cm,2～10m,甲羅にイボ状の突起があり、砂地に潜んでいることが多い。小さなはさみが特徴。,イボツブコブシガニは甲羅にイボ状の突起があり、砂地に潜んでいることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、ゆっくりと接近し、フラッシュを使わないようにすると良いでしょう。面白いことに、この種類は紅海にも分布しており、広い範囲で見られることが特徴です。
コンペイトウコブシガニ,Heteronucia venusta,相模湾以南、南太平洋,砂泥底,甲幅1〜1.5cm,3～65m,甲羅がコンペイトウのような模様で、砂地でじっとしていることが多い。小さなはさみが特徴。,コンペイトウコブシガニは甲羅がコンペイトウのような模様で、砂地でじっとしていることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、ゆっくりと接近し、フラッシュを使わないようにすると良いでしょう。面白いことに、この種類は南太平洋にも分布しており、広い範囲で見られることが特徴です。
ツノカルイシコブシガニ,Myra fugax,駿河湾～九州西北部,砂泥底,甲幅3cm,20～50m,甲羅にツノがあり、砂地に潜んでいることが多い。小さなはさみが特徴。,ツノカルイシコブシガニは甲羅にツノがあり、砂地に潜んでいることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、ゆっくりと接近し、フラッシュを使わないようにすると良いでしょう。面白いことに、この種類は九州西北部にも分布しており、比較的西の海域で見られることが特徴です。
クモガニ,Oncinopus aranea,房総半島～九州、東南アジア、インド洋,砂泥底,甲幅5cm,15～50m,長い脚が特徴で、砂地を素早く移動する。ダイバーには人気の種類。,クモガニは長い脚が特徴で、砂地を素早く移動します。体色は淡い褐色で、ダイバーには人気の種類です。観察の際は、砂地をゆっくりと探し、動き回る個体を見つけると良いでしょう。撮影のポイントは、長い脚を活かした構図です。面白いことに、この種類はインド洋にも分布しており、広い範囲で見られることが特徴です。
アケウス,Achaeus japonicus,東京湾～九州、香港,砂泥底,2cm,15～100m,小さな甲羅と長い脚が特徴で、砂地に潜んでいることが多い。警戒心が強く、そっと近づく必要がある。,アケウスは小さな甲羅と長い脚が特徴で、砂地に潜んでいることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、ゆっくりと接近し、フラッシュを使わないようにすると良いでしょう。面白いことに、この種類は香港にも分布しており、比較的南の海域で見られることが特徴です。
アワツブアケウス,Achaeus tuberculatus,青森県～九州、伊豆諸島、韓国,砂泥底,1cm,20～200m,甲羅にアワツブのような模様があり、砂地でじっとしていることが多い。小さなはさみが特徴。,アワツブアケウスは甲羅にアワツブのような模様があり、砂地でじっとしていることが多いです。体色は淡い褐色で、小さなはさみを持っています。警戒心が強く、近づくと素早く砂に潜ってしまうため、そっと観察する必要があります。撮影の際は、ゆっくりと接近し、フラッシュを使わないようにすると良いでしょう。面白いことに、この種類は韓国にも分布しており、比較的北の海域で見られることが特徴です。
クビナシアケウス,Chalaroachaeus ruripes,八丈島、琉球列島,岩礁の岩穴,1cm,5～20m,小さな甲殻類で、赤褐色の体色。岩陰に隠れる習性があり、じっとしていることが多い。,クビナシアケウスは体長1cmほどの小さな甲殻類で、赤褐色の体色が特徴です。岩礁域の岩穴や隙間に隠れる習性があり、じっとしていることが多く、動きはゆっくりです。ダイビング中に見つけるには、岩の陰や小さな穴を注意深く観察しましょう。体が小さいため、マクロレンズを使うと鮮明に撮影できます。面白いことに、この種は擬態が得意で、周囲の環境に溶け込むのが上手です。
クビナガアケウス,Lambrachaeus ramifer,相模湾～紀伊半島、八丈島、ハワイ、インド洋、紅海,岩礁域、砂泥底,甲長1cm,15～90m,甲長1cmの小さなカニで、細長い脚が特徴。岩の上や砂地で見られる。,クビナガアケウスは甲長1cmほどの小さなカニで、細長い脚が特徴的です。岩礁域や砂泥底に生息し、岩の上や砂地をゆっくり移動している姿が観察できます。ダイビング中に見つけるには、岩の表面や砂地の小さな動きに注目しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は脚を使って巧みにバランスを取りながら移動します。
イツカククモガニ,Pyromia tubacula,東京湾～伊勢湾、韓国、カリフォルニア～パナマ湾,砂泥底、藻場域,甲幅1cm,1～80m,甲幅1cmの小さなカニで、茶褐色の体色。砂地や藻場で見られる。,イツカククモガニは甲幅1cmほどの小さなカニで、茶褐色の体色が特徴です。砂泥底や藻場域に生息し、砂地をゆっくり移動したり、藻に隠れたりしている姿が観察できます。ダイビング中に見つけるには、砂地や藻の茂みを注意深く観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させることがあります。
モクズショイ,Camposcia retusa,房総半島以南、ハワイ、南太平洋、オーストラリア、インド洋,岩礁域、転石帯,甲長4cm,3～50m,甲長4cmのカニで、褐色の体色。岩の隙間や転石の下に隠れる。,モクズショイは甲長4cmほどのカニで、褐色の体色が特徴です。岩礁域や転石帯に生息し、岩の隙間や転石の下に隠れていることが多いです。ダイビング中に見つけるには、岩の隙間や転石をゆっくり持ち上げて観察しましょう。動きは素早いため、ゆっくりと接近するのがポイントです。面白いことに、この種は環境に合わせて体色を変化させ、擬態が得意です。
タカアシガニ,Macrocheira kaempferi,釜石沖～九州西部（瀬戸内海を除く）、台湾、東シナ海,深海の砂泥底,甲幅25cm,30～400m,巨大なカニで、甲幅25cm。長い脚が特徴で、深海に生息。,タカアシガニは甲幅25cmにもなる巨大なカニで、特に長い脚が特徴的です。深海の砂泥底に生息し、30～400mの深さで見られます。ダイビング中に見つけるには、深海ダイビングが必要で、砂泥底を注意深く観察しましょう。動きはゆっくりで、長い脚を使って巧みにバランスを取ります。面白いことに、この種は世界最大の節足動物の一つとして知られています。
ケセンガニ,Oregonia gracilis,千葉県～北海道、日本海、アラスカ、カリフォルニア沿岸,岩礁域、砂泥底,甲幅3cm,5～530m,甲幅3cmのカニで、灰色の体色。岩の上や砂地で見られる。,ケセンガニは甲幅3cmほどのカニで、灰色の体色が特徴です。岩礁域や砂泥底に生息し、岩の上や砂地をゆっくり移動している姿が観察できます。ダイビング中に見つけるには、岩の表面や砂地の小さな動きに注目しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させることがあります。
ズワイガニ,Chionoecetes opilio,千葉県～北海道、日本海、韓国、オホーツク海、ベーリング海、アラスカ,深海の砂泥底,甲幅7cm,5～1200m,甲幅7cmのカニで、赤褐色の体色。深海に生息し、ゆっくり移動。,ズワイガニは甲幅7cmほどのカニで、赤褐色の体色が特徴です。深海の砂泥底に生息し、5～1200mの深さで見られます。ダイビング中に見つけるには、深海ダイビングが必要で、砂泥底を注意深く観察しましょう。動きはゆっくりで、長い脚を使って巧みにバランスを取ります。面白いことに、この種は食用としても人気で、漁獲対象になっています。
ミミズクガニ,Cyclocoeloma tuberculata,琉球列島、フィリピン、マレーシア、インドネシア,サンゴ礁域,甲幅2cm,3m～15m,小さなカニで、サンゴの隙間に隠れる。体色は周囲に合わせて変化。,ミミズクガニは小さなカニで、サンゴ礁域のサンゴの隙間に隠れていることが多いです。体色は周囲の環境に合わせて変化し、擬態が得意です。ダイビング中に見つけるには、サンゴの隙間を注意深く観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、敵から身を守ります。
ヨツハモガニ,Pugettia quadridens,北海道～九州、韓国、中国北部,岩礁域、転石帯,甲幅4cm,3～320m,褐色のカニで、岩の隙間や転石の下に隠れる。動きは素早い。,ヨツハモガニは褐色の体色が特徴で、岩礁域や転石帯の岩の隙間や転石の下に隠れていることが多いです。動きは素早く、ダイビング中に見つけるには、岩の隙間や転石をゆっくり持ち上げて観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、擬態が得意です。
ヨツハモドキ,Pugettia intermedia,相模湾～大阪湾,岩礁域、藻場域,甲幅3cm,3～30m,小さなカニで、藻場に隠れる。体色は緑褐色。,ヨツハモドキは小さなカニで、緑褐色の体色が特徴です。岩礁域や藻場域に生息し、藻に隠れていることが多いです。ダイビング中に見つけるには、藻の茂みを注意深く観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、擬態が得意です。
イッカクガニ,Menaethius monoceros,房総半島以南、ハワイ、南太平洋、オーストラリア、インド洋、紅海,サンゴ礁域,甲幅1.5cm,3～30m,小さなカニで、サンゴの隙間に隠れる。体色は周囲に合わせて変化。,イッカクガニは小さなカニで、サンゴ礁域のサンゴの隙間に隠れていることが多いです。体色は周囲の環境に合わせて変化し、擬態が得意です。ダイビング中に見つけるには、サンゴの隙間を注意深く観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、敵から身を守ります。
コノハガニ,Huenia heraldica,房総半島以南、ハワイ、南太平洋、オーストラリア、インド洋、紅海,サンゴ礁域,甲幅2cm,3～140m,小さなカニで、サンゴの隙間に隠れる。体色は周囲に合わせて変化。,コノハガニは小さなカニで、サンゴ礁域のサンゴの隙間に隠れていることが多いです。体色は周囲の環境に合わせて変化し、擬態が得意です。ダイビング中に見つけるには、サンゴの隙間を注意深く観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、敵から身を守ります。
イソバナガニ,Xenocarcinus depressus,与論島以南、東南アジア、南太平洋、インド洋中部、ペルシャ湾,サンゴ礁域,甲幅1cm,5～30m,小さなカニで、サンゴの隙間に隠れる。体色は周囲に合わせて変化。,イソバナガニは小さなカニで、サンゴ礁域のサンゴの隙間に隠れていることが多いです。体色は周囲の環境に合わせて変化し、擬態が得意です。ダイビング中に見つけるには、サンゴの隙間を注意深く観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、敵から身を守ります。
ナカザワイソバナガニ,Xenocarcinus tuberculatus,伊豆大島、紀伊半島、南太平洋,サンゴ礁域,甲長2cm,15～30m,甲長2cmのカニで、サンゴの隙間に隠れる。体色は赤褐色。,ナカザワイソバナガニは甲長2cmほどのカニで、赤褐色の体色が特徴です。サンゴ礁域のサンゴの隙間に隠れていることが多いです。ダイビング中に見つけるには、サンゴの隙間を注意深く観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、敵から身を守ります。
エダツノガニ,Naxioides mammillata,相模湾～九州、東南アジア,深海の砂泥底,甲長13cm,30～200m,甲長13cmのカニで、長い脚が特徴。深海に生息。,エダツノガニは甲長13cmほどのカニで、特に長い脚が特徴的です。深海の砂泥底に生息し、30～200mの深さで見られます。ダイビング中に見つけるには、深海ダイビングが必要で、砂泥底を注意深く観察しましょう。動きはゆっくりで、長い脚を使って巧みにバランスを取ります。面白いことに、この種は深海に適応した独特の形態を持っています。
アシナガツノガニ,Phalangipus hystrix,東京湾以南、東シナ海、南太平洋、オーストラリア、インド洋、紅海,深海の砂泥底,甲長2.5cm,20～150m,甲長2.5cmのカニで、トゲ状の突起が特徴。深海に生息。,アシナガツノガニは甲長2.5cmほどのカニで、体にトゲ状の突起が特徴的です。深海の砂泥底に生息し、20～150mの深さで見られます。ダイビング中に見つけるには、深海ダイビングが必要で、砂泥底を注意深く観察しましょう。動きはゆっくりで、トゲ状の突起を使って敵から身を守ります。面白いことに、この種は深海に適応した独特の形態を持っています。
アシズリツノガニ,Tylocarcinus styx,土佐湾以南、東南アジア、南太平洋、インド洋、紅海,サンゴ礁域,甲長2cm,1～30m,甲長2cmのカニで、サンゴの隙間に隠れる。体色は茶褐色。,アシズリツノガニは甲長2cmほどのカニで、茶褐色の体色が特徴です。サンゴ礁域のサンゴの隙間に隠れていることが多いです。ダイビング中に見つけるには、サンゴの隙間を注意深く観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、敵から身を守ります。
ツノガニ,Hyastenus diacanthus,房総半島～九州、東シナ海、東南アジア、オーストラリア、インド洋中部,深海の砂泥底,甲長3.5cm,20～100m,甲長3.5cmのカニで、トゲ状の突起が特徴。深海に生息。,ツノガニは甲長3.5cmほどのカニで、体にトゲ状の突起が特徴的です。深海の砂泥底に生息し、20～100mの深さで見られます。ダイビング中に見つけるには、深海ダイビングが必要で、砂泥底を注意深く観察しましょう。動きはゆっくりで、トゲ状の突起を使って敵から身を守ります。面白いことに、この種は深海に適応した独特の形態を持っています。
ボラダイルツノガニ,Hyretenus bonadailei,相模湾～土佐湾、琉球列島、南太平洋、インド洋西部,サンゴ礁域,甲幅2cm,5～50m,小さなカニで、サンゴの隙間に隠れる。体色は周囲に合わせて変化。,ボラダイルツノガニは小さなカニで、サンゴ礁域のサンゴの隙間に隠れていることが多いです。体色は周囲の環境に合わせて変化し、擬態が得意です。ダイビング中に見つけるには、サンゴの隙間を注意深く観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、敵から身を守ります。
ヒラツノガニ,Scyta compresipes,相模湾以北、北海道沿岸、日本海、黄海,岩礁域、転石帯,甲幅3cm,8～160m,褐色のカニで、岩の隙間や転石の下に隠れる。動きは素早い。,ヒラツノガニは褐色の体色が特徴で、岩礁域や転石帯の岩の隙間や転石の下に隠れていることが多いです。動きは素早く、ダイビング中に見つけるには、岩の隙間や転石をゆっくり持ち上げて観察しましょう。マクロレンズを使うと、細かい模様や脚の動きを鮮明に撮影できます。面白いことに、この種は環境に合わせて体色を変化させ、擬態が得意です。
イソコンペイトウガニ,Hoplophrys oatesii,伊豆半島以南、東南アジア、南太平洋、オーストラリア,サンゴ礁域、岩礁の岩穴,甲幅1cm,3～30m,ピンクやオレンジの鮮やかな体色で、サンゴの上に擬態していることが多い。動きはゆっくりで観察しやすい。,イソコンペイトウガニはピンクやオレンジの鮮やかな体色が特徴で、サンゴの上に擬態していることが多いです。体長は約2cmと小型で、動きがゆっくりなため観察しやすい種です。サンゴ礁域や岩礁の岩穴に生息し、特に枝サンゴの上で見つかることが多いです。撮影の際は、サンゴの色と同化しているため、注意深く探す必要があります。面白いことに、危険を感じるとサンゴの隙間に隠れる習性があります。
ケアシガニ,Maja spinigera,東京湾～九州、台湾、インド洋中部,砂泥底、藻場域,甲幅6cm,20～150m,茶褐色の体に長い毛が生えており、砂地にじっとしていることが多い。動きは鈍く、観察しやすい。,ケアシガニは茶褐色の体に長い毛が生えており、砂泥底や藻場域に生息しています。動きが鈍く、じっとしていることが多いため、観察しやすい種です。体長は約5cmで、砂地に半ば埋もれていることもあります。撮影の際は、砂地を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、長い毛は砂や泥をかぶることで擬態効果を高めていると考えられます。
ノコギリガニ,Schizophrys aspera,房総半島以南、ハワイ、オーストラリア、インド洋、紅海,岩礁の岩穴、転石帯,甲幅5cm,2～40m,鋭いトゲが特徴で、岩の隙間に隠れていることが多い。動きは素早く、観察には注意が必要。,ノコギリガニは鋭いトゲが特徴で、岩礁の岩穴や転石帯に生息しています。動きが素早く、岩の隙間に隠れる習性があるため、観察には注意が必要です。体長は約4cmで、灰色や茶色の体色をしています。撮影の際は、岩の隙間を注意深く探すと見つけやすく、驚かせるとすぐに隠れてしまいます。面白いことに、トゲは外敵からの防御だけでなく、岩の隙間に引っ掛けるためにも使われています。
カイメンガニ,Chlainoides longispinus,房総半島～九州、東南アジア、オーストラリア、インド洋、アフリカ東岸,サンゴ礁域、岩礁の岩穴,甲長5cm,10～50m,カイメンに擬態した体色で、サンゴの上にじっとしていることが多い。動きはゆっくりで観察しやすい。,カイメンガニはカイメンに擬態した体色で、サンゴ礁域や岩礁の岩穴に生息しています。体長は約5cmで、サンゴの上にじっとしていることが多く、動きがゆっくりなため観察しやすい種です。撮影の際は、サンゴの色と同化しているため、注意深く探す必要があります。面白いことに、危険を感じるとサンゴの隙間に隠れる習性があります。また、カイメンを食べることで体色を維持していると考えられます。
コワタクズガニ,Micippa philyra,東京湾以南、ハワイ、南太平洋、インド洋、アフリカ東岸、紅海,岩礁の岩穴、転石帯,甲幅4cm,2～50m,茶褐色の体に小さな突起があり、岩の上にじっとしていることが多い。動きは鈍く、観察しやすい。,コワタクズガニは茶褐色の体に小さな突起があり、岩礁の岩穴や転石帯に生息しています。体長は約4cmで、岩の上にじっとしていることが多く、動きが鈍いため観察しやすい種です。撮影の際は、岩の表面を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、突起は岩の表面に擬態するためだと考えられ、外敵から身を守るのに役立っています。
ヤワラガニ,Halicarcinxs nessor,青森県～九州,藻場域、転石帯,甲幅0.5cm,1～10m,非常に小さく、緑藻の上にいることが多い。動きは素早く、観察には注意が必要。,ヤワラガニは非常に小さく、体長は約0.5cmで、緑藻の上に生息しています。動きが素早く、藻の間をすばやく移動するため、観察には注意が必要です。撮影の際は、緑藻の茂みを注意深く探すと見つけやすく、驚かせるとすぐに隠れてしまいます。面白いことに、体色は緑藻に擬態しており、外敵から身を守るのに役立っています。また、藻を食べることで体色を維持していると考えられます。
トウヨウヤワラガニ,Halicarcinus orientalis,東京湾以南,藻場域、転石帯,甲幅0.5cm,1～10m,非常に小さく、緑藻の上にいることが多い。動きは素早く、観察には注意が必要。,トウヨウヤワラガニは非常に小さく、体長は約0.5cmで、緑藻の上に生息しています。動きが素早く、藻の間をすばやく移動するため、観察には注意が必要です。撮影の際は、緑藻の茂みを注意深く探すと見つけやすく、驚かせるとすぐに隠れてしまいます。面白いことに、体色は緑藻に擬態しており、外敵から身を守るのに役立っています。また、藻を食べることで体色を維持していると考えられます。
ソバガラガニ,Trigonoplax unguiformis,陸奥湾～九州、東南アジア、インド洋,砂泥底、藻場域,甲幅1cm,5～50m,茶褐色の体に小さな突起があり、砂地にじっとしていることが多い。動きは鈍く、観察しやすい。,ソバガラガニは茶褐色の体に小さな突起があり、砂泥底や藻場域に生息しています。体長は約1cmで、砂地にじっとしていることが多く、動きが鈍いため観察しやすい種です。撮影の際は、砂地を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、突起は砂や泥をかぶることで擬態効果を高めていると考えられます。また、砂地に潜む小動物を捕食しています。
ヒメソバガラガニ,Elamena truncata,房総半島以南、南太平洋、オーストラリア、インド洋中部,岩礁の岩穴、転石帯,甲幅0.4cm,3～30m,非常に小さく、岩の上にじっとしていることが多い。動きは鈍く、観察しやすい。,ヒメソバガラガニは非常に小さく、体長は約0.4cmで、岩礁の岩穴や転石帯に生息しています。動きが鈍く、岩の上にじっとしていることが多いため、観察しやすい種です。撮影の際は、岩の表面を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、体色は岩の表面に擬態しており、外敵から身を守るのに役立っています。また、岩の表面に付着する微小生物を食べています。
ヒシガニ,Platylambrus validus,房総半島～九州、韓国、中国、シンガポール、南太平洋、オーストラリア,砂泥底、藻場域,甲幅5cm,15～200m,茶褐色の体に鋭いトゲがあり、砂地にじっとしていることが多い。動きは鈍く、観察しやすい。,ヒシガニは茶褐色の体に鋭いトゲがあり、砂泥底や藻場域に生息しています。体長は約10cmで、砂地にじっとしていることが多く、動きが鈍いため観察しやすい種です。撮影の際は、砂地を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、トゲは外敵からの防御だけでなく、砂に潜むためにも使われています。また、砂地に潜む小動物を捕食しています。
カルイシガニ,Daldorfia horrida,紀伊半島以南、伊豆諸島、ハワイ、南太平洋、インド洋、紅海,岩礁の岩穴、転石帯,甲幅10cm,5～270m,赤褐色の体に鋭いトゲがあり、岩の上にじっとしていることが多い。動きは鈍く、観察しやすい。,カルイシガニは赤褐色の体に鋭いトゲがあり、岩礁の岩穴や転石帯に生息しています。体長は約8cmで、岩の上にじっとしていることが多く、動きが鈍いため観察しやすい種です。撮影の際は、岩の表面を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、トゲは外敵からの防御だけでなく、岩の隙間に引っ掛けるためにも使われています。また、岩の表面に付着する生物を食べています。
ムラサキゴカクガニ,Echinoecea pentagonа,相模湾以南、伊豆諸島、ハワイ、南太平洋、インド洋、紅海,サンゴ礁域、岩礁の岩穴,甲幅3cm,2～20m,紫色の体に白い斑点があり、サンゴの上に擬態していることが多い。動きはゆっくりで観察しやすい。,ムラサキゴカクガニは紫色の体に白い斑点があり、サンゴ礁域や岩礁の岩穴に生息しています。体長は約3cmで、サンゴの上に擬態していることが多く、動きがゆっくりなため観察しやすい種です。撮影の際は、サンゴの色と同化しているため、注意深く探す必要があります。面白いことに、危険を感じるとサンゴの隙間に隠れる習性があります。また、サンゴを食べることで体色を維持していると考えられます。
ケブカゼブラガニ,Eumedonus serenei,紀伊半島、小笠原諸島、東シナ海、オーストラリア東岸,岩礁の岩穴、転石帯,甲幅2cm,2～60m,黒と白の縞模様があり、岩の上にじっとしていることが多い。動きは鈍く、観察しやすい。,ケブカゼブラガニは黒と白の縞模様があり、岩礁の岩穴や転石帯に生息しています。体長は約4cmで、岩の上にじっとしていることが多く、動きが鈍いため観察しやすい種です。撮影の際は、岩の表面を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、縞模様は岩の表面に擬態しており、外敵から身を守るのに役立っています。また、岩の表面に付着する生物を食べています。
ゼブラガニ,Zebrida adamsii,伊豆半島以南、東南アジア、南太平洋、オーストラリア、インド洋中部,サンゴ礁域、岩礁の岩穴,甲幅2cm,2～50m,黒と白の縞模様があり、サンゴの上に擬態していることが多い。動きはゆっくりで観察しやすい。,ゼブラガニは黒と白の縞模様があり、サンゴ礁域や岩礁の岩穴に生息しています。体長は約3cmで、サンゴの上に擬態していることが多く、動きがゆっくりなため観察しやすい種です。撮影の際は、サンゴの色と同化しているため、注意深く探す必要があります。面白いことに、危険を感じるとサンゴの隙間に隠れる習性があります。また、サンゴを食べることで体色を維持していると考えられます。
コマチガニ,Haroovia japonica,房総半島～九州、南シナ海,岩礁の岩穴、転石帯,甲幅1.5cm,5～30m,茶褐色の体に小さな突起があり、岩の上にじっとしていることが多い。動きは鈍く、観察しやすい。,コマチガニは茶褐色の体に小さな突起があり、岩礁の岩穴や転石帯に生息しています。体長は約3cmで、岩の上にじっとしていることが多く、動きが鈍いため観察しやすい種です。撮影の際は、岩の表面を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、突起は岩の表面に擬態するためだと考えられ、外敵から身を守るのに役立っています。また、岩の表面に付着する生物を食べています。
シロスジコマチガニ,Haroovia inonudata,駿河湾、奄美大島～琉球列島、南太平洋、インド洋,岩礁の岩穴、転石帯,2～3cm,5～50m,白い縞模様があり、岩の上にじっとしていることが多い。動きは鈍く、観察しやすい。,シロスジコマチガニは白い縞模様があり、岩礁の岩穴や転石帯に生息しています。体長は約3cmで、岩の上にじっとしていることが多く、動きが鈍いため観察しやすい種です。撮影の際は、岩の表面を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、縞模様は岩の表面に擬態しており、外敵から身を守るのに役立っています。また、岩の表面に付着する生物を食べています。
ミツハコマチガニ,Ceratocarcinus trilobatus,東京湾～土佐湾,岩礁の岩穴、転石帯,2～3cm,5～30m,茶褐色の体に三つの突起があり、岩の上にじっとしていることが多い。動きは鈍く、観察しやすい。,ミツハコマチガニは茶褐色の体に三つの突起があり、岩礁の岩穴や転石帯に生息しています。体長は約3cmで、岩の上にじっとしていることが多く、動きが鈍いため観察しやすい種です。撮影の際は、岩の表面を注意深く探すと見つけやすく、接近してもあまり逃げません。面白いことに、突起は岩の表面に擬態するためだと考えられ、外敵から身を守るのに役立っています。また、岩の表面に付着する生物を食べています。
